DEST_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
New Mexico,300462.0,10.86033398395142,12742.0,0.4605653148268633,122746.0,4.436709318296827,39608.0,1.4316489553965155,575.0,0.020783633340562425,124791.0,4.510626762090653
Alaska,264459.0,6.643863836201482,18180.0,0.4567265418917221,84120.0,2.113302348951137,49363.0,1.240120587865846,2828.0,0.07104635096093456,109968.0,2.7626680065318427
North Dakota,244027.0,14.231469061643436,36493.0,2.1282440076981395,101208.0,5.902373593048346,31330.0,1.827141774071266,238.0,0.013879979005073774,74758.0,4.35982970782061
Idaho,237143.0,9.160698420056399,17972.0,0.694248078185962,97194.0,3.75454861513501,24305.0,0.9388882450650906,160.0,0.006180708463707652,97512.0,3.766832773206629
Kansas,231097.0,14.284645815304735,16230.0,1.003214241562616,89019.0,5.502472493509704,35510.0,2.194956113240203,99.0,0.006119421436518729,90239.0,5.577883545555693
Mississippi,226416.0,14.477652023786687,21053.0,1.3461858175075132,83130.0,5.315557260694418,29731.0,1.9010806317539484,125.0,0.007992838416778567,92377.0,5.906835475414029
Maine,221199.0,14.827657862984314,13617.0,0.9127899182196005,71372.0,4.78428743799437,35916.0,2.407561335299638,263.0,0.017629709076283685,100031.0,6.705389462394423
Rhode Island,220359.0,12.136979510905485,10039.0,0.5529301608283763,81126.0,4.46827495042961,30539.0,1.6820334875523244,1246.0,0.06862745098039216,97409.0,5.365113461114783
Montana,215807.0,10.02308299660954,27580.0,1.2809437555153036,81958.0,3.806511541498305,28989.0,1.3463842831266546,130.0,0.006037805954205564,77150.0,3.5832056105150714
South Dakota,202122.0,14.318645508642675,19664.0,1.3930291867384528,77666.0,5.501983564749221,31288.0,2.2164919240578067,122.0,0.00864267497874752,73382.0,5.198498158118447
Vermont,154296.0,16.007469654528478,10835.0,1.1240792613341632,50699.0,5.259777985268181,25164.0,2.6106442577030813,7.0,7.262164124909223E-4,67591.0,7.012241933810561
Wyoming,130976.0,14.989242389562829,15463.0,1.7696269169146257,51793.0,5.9273289082169835,16522.0,1.890821698329137,94.0,0.010757610437170977,47104.0,5.390707255664912
West Virginia,108791.0,16.16027926322044,11240.0,1.6696375519904931,36621.0,5.439839572192513,11687.0,1.7360368389780154,50.0,0.0074272133095662505,49193.0,7.307338086749851
New Hampshire,101204.0,11.821516178016587,6084.0,0.7106646419810769,33877.0,3.957131176264455,11748.0,1.3722695946735195,372.0,0.0434528676556477,49123.0,5.737997897441888
U.S. Virgin Islands,48731.0,10.486550462664084,1475.0,0.3174090811276092,21209.0,4.5640197977189585,8716.0,1.875618678717452,141.0,0.030342156229825695,17190.0,3.6991607488702387
U.S. Pacific Trust Territories and Possessions,9810.0,6.850558659217877,107.0,0.07472067039106145,5932.0,4.14245810055866,767.0,0.5356145251396648,239.0,0.16689944134078213,2765.0,1.9308659217877095
