ORIGIN_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
Ohio,1536647.0,12.721219596999852,0.0,1847.0,54499.0,0.45117307151017433,0.0,1847.0,428622.0,3.5483716078613177,0.0,1622.0,489120.0,4.049207742106396,0.0,1119.0,774.0,0.006407603026640396,0.0,68.0,563632.0,4.666059572495323,0.0,1442.0
Kentucky,1147044.0,13.797199769053117,0.0,2034.0,55426.0,0.6666907236335643,0.0,1416.0,326966.0,3.9329051193225557,0.0,1966.0,344838.0,4.14787817551963,0.0,1567.0,649.0,0.007806485758275597,0.0,85.0,419165.0,5.041919264819092,0.0,2010.0
Maryland,1141108.0,10.884799923689608,0.0,1431.0,55091.0,0.525501979300806,0.0,906.0,410561.0,3.9162588830066296,0.0,1396.0,265209.0,2.5297753612820144,0.0,1078.0,4627.0,0.04413602327466972,0.0,387.0,405620.0,3.869127676825488,0.0,807.0
Utah,1118074.0,9.272620212642439,0.0,1756.0,92460.0,0.7668065484582594,0.0,1091.0,430319.0,3.568801937335169,0.0,1756.0,248148.0,2.0579873608784354,0.0,1447.0,424.0,0.00351639602580902,0.0,71.0,346723.0,2.875507969944766,0.0,1495.0
Louisiana,1099953.0,12.735359499826329,0.0,1445.0,58503.0,0.6773532476554359,0.0,1390.0,278084.0,3.219682760217668,0.0,1445.0,289295.0,3.3494847748060668,0.0,1322.0,2738.0,0.03170082204469144,0.0,265.0,471333.0,5.457137895102466,0.0,1317.0
Indiana,866842.0,12.893486635629397,0.0,1458.0,39011.0,0.5802531570257768,0.0,1105.0,267470.0,3.978373071945977,0.0,1453.0,252939.0,3.762237658223141,0.0,1283.0,877.0,0.013044577650191132,0.0,195.0,306545.0,4.55957817078431,0.0,1381.0
South Carolina,825420.0,13.058170255177105,0.0,1508.0,38097.0,0.602695733337552,0.0,1174.0,216110.0,3.4188669693565994,0.0,1500.0,236803.0,3.7462308775371373,0.0,1298.0,380.0,0.006011611902991568,0.0,46.0,334030.0,5.2843650630428245,0.0,1054.0
Wisconsin,812095.0,13.359462393893532,0.0,1540.0,69154.0,1.1376258472066856,0.0,1388.0,214439.0,3.5276534842403104,0.0,1505.0,211249.0,3.475176021583207,0.0,1157.0,440.0,0.007238270711324603,0.0,121.0,316813.0,5.211768770152004,0.0,1421.0
Oregon,740753.0,9.73458177278402,0.0,1563.0,23610.0,0.31027005716538536,0.0,1398.0,216533.0,2.8455614692161113,0.0,1551.0,214873.0,2.82374663249885,0.0,1493.0,797.0,0.010473749917865826,0.0,135.0,284940.0,3.7445298639858073,0.0,1480.0
Hawaii,723973.0,6.288581976112921,0.0,2350.0,16504.0,0.143357220412595,0.0,990.0,359004.0,3.1183843648208467,0.0,2315.0,61237.0,0.5319174809989142,0.0,323.0,9284.0,0.080642779587405,0.0,1078.0,277944.0,2.4142801302931596,0.0,1129.0
Oklahoma,537641.0,12.38090961427749,0.0,1589.0,38886.0,0.8954749568221071,0.0,1151.0,169749.0,3.9090155440414507,0.0,1571.0,115859.0,2.6680253310305124,0.0,1082.0,688.0,0.01584340817501439,0.0,332.0,212459.0,4.8925503742084056,0.0,1071.0
Alabama,530525.0,13.306704457096993,0.0,1467.0,34299.0,0.8602924577992926,0.0,1134.0,132204.0,3.3159597682409894,0.0,1449.0,116697.0,2.9270109608969377,0.0,1218.0,502.0,0.012591236298878828,0.0,262.0,246823.0,6.190850033860895,0.0,991.0
Puerto Rico,479290.0,15.998197536633398,0.0,1473.0,3281.0,0.10951633899662873,0.0,1036.0,157619.0,5.261156914449748,0.0,1473.0,58864.0,1.9648185854000468,0.0,944.0,723.0,0.024132981741713674,0.0,245.0,258803.0,8.638572716045262,0.0,1213.0
Arkansas,440952.0,13.863799283154123,0.0,1486.0,34594.0,1.0876564170282337,0.0,1234.0,109382.0,3.439036659749733,0.0,1370.0,128430.0,4.037917374080362,0.0,1486.0,150.0,0.0047160913035276366,0.0,35.0,168396.0,5.294472740992266,0.0,714.0
Iowa,418744.0,14.179330895300014,0.0,2050.0,36236.0,1.2270079913314371,0.0,1292.0,112972.0,3.82540972504402,0.0,1647.0,110803.0,3.7519639712853854,0.0,1020.0,220.0,0.007449546254909928,0.0,36.0,158513.0,5.367499661384261,0.0,1082.0
Nebraska,403743.0,12.92060291858679,0.0,1553.0,28369.0,0.9078661034306196,0.0,1331.0,117929.0,3.7739695340501793,0.0,1553.0,108860.0,3.4837429595494114,0.0,1235.0,1144.0,0.036610343061955965,0.0,1048.0,147441.0,4.718413978494624,0.0,1001.0
Connecticut,351209.0,11.792264043246147,0.0,1459.0,17527.0,0.5884900782325487,0.0,1440.0,98936.0,3.3218950407950842,0.0,1458.0,88072.0,2.957123191082161,0.0,907.0,216.0,0.007252459456737065,0.0,98.0,146458.0,4.917503273679616,0.0,1007.0
New Mexico,314470.0,11.368303087267732,0.0,1608.0,19025.0,0.6877666112356301,0.0,1552.0,101932.0,3.6849107078302366,0.0,1533.0,65424.0,2.3651218277781796,0.0,1068.0,1948.0,0.0704215168823657,0.0,277.0,126141.0,4.560082423541321,0.0,1276.0
North Dakota,306765.0,17.896563794411062,0.0,2075.0,47104.0,2.748031036695642,0.0,1277.0,107359.0,6.263286856076075,0.0,1643.0,48486.0,2.8286564377807597,0.0,1058.0,1277.0,0.07449973747155941,0.0,141.0,102539.0,5.982089726387025,0.0,2014.0
Kansas,275691.0,17.04110520459884,0.0,1508.0,17745.0,1.0968599332426752,0.0,905.0,93222.0,5.762269749041908,0.0,1506.0,57494.0,3.5538385461738162,0.0,1096.0,41.0,0.0025343058474471504,0.0,25.0,107189.0,6.625602670292991,0.0,1094.0
Montana,266943.0,12.397501393275125,0.0,1527.0,18946.0,0.8798996841909715,0.0,1179.0,77607.0,3.604263421883708,0.0,1473.0,73080.0,3.3940182054616383,0.0,1057.0,32.0,0.001486160133754412,0.0,19.0,97278.0,4.517833921605053,0.0,1315.0
South Dakota,260219.0,18.443475795591468,0.0,1354.0,35170.0,2.492735133602665,0.0,1273.0,72378.0,5.1299170742079525,0.0,1266.0,53515.0,3.7929690268622864,0.0,1001.0,234.0,0.016585158409525836,0.0,32.0,98922.0,7.011269402509037,0.0,1349.0
Idaho,251180.0,9.632612363859488,0.0,1274.0,9347.0,0.35845221659763765,0.0,1005.0,86150.0,3.303804264457739,0.0,1250.0,68979.0,2.6453060285319836,0.0,1068.0,173.0,0.0066344531369842,0.0,51.0,86531.0,3.318415401135143,0.0,1243.0
Maine,250170.0,16.762932189761457,0.0,1265.0,11779.0,0.7892656124363442,0.0,1074.0,50142.0,3.359823103725543,0.0,1056.0,93120.0,6.239614044492093,0.0,1265.0,115.0,0.0077057089252211206,0.0,24.0,95014.0,6.366523720182257,0.0,658.0
Alaska,244457.0,6.14198135725233,0.0,1259.0,8378.0,0.21049722368784704,0.0,701.0,78601.0,1.9748498781437653,0.0,1244.0,39376.0,0.9893218763347654,0.0,119.0,3195.0,0.08027436496570438,0.0,98.0,114907.0,2.887038014120248,0.0,1240.0
Mississippi,243506.0,15.571428571428571,0.0,1464.0,20289.0,1.2974165494308736,0.0,1236.0,73515.0,4.701048727458755,0.0,1410.0,42035.0,2.688003581020591,0.0,1008.0,218.0,0.013940401585880547,0.0,29.0,107449.0,6.871019311932472,0.0,845.0
Rhode Island,230163.0,12.674871964315216,0.0,1660.0,6897.0,0.3798116636378655,0.0,817.0,63227.0,3.4818547276832423,0.0,1660.0,57736.0,3.179470235145107,0.0,982.0,477.0,0.02626796629770362,0.0,165.0,101826.0,5.607467371551297,0.0,544.0
Vermont,191817.0,19.904223306008095,0.0,1511.0,11103.0,1.1521220296772854,0.0,1194.0,43736.0,4.5383418076164785,0.0,1239.0,70660.0,7.332157310366297,0.0,1144.0,18.0,0.0018678011829407492,0.0,15.0,66300.0,6.879734357165093,0.0,1413.0
Wyoming,161822.0,18.519340810254064,0.0,1510.0,9351.0,1.0701533531700618,0.0,560.0,51990.0,5.949874113069352,0.0,1415.0,41011.0,4.693408102540627,0.0,1175.0,107.0,0.012245365072098878,0.0,36.0,59363.0,6.7936598764019225,0.0,1240.0
West Virginia,134956.0,20.049918288515823,0.0,1171.0,9579.0,1.4231169217055415,0.0,1171.0,34810.0,5.171594116773139,0.0,1126.0,22968.0,3.4122715792601395,0.0,1027.0,46.0,0.006834051403951865,0.0,17.0,67553.0,10.03610161937305,0.0,850.0
New Hampshire,88258.0,10.302089412863312,0.0,1216.0,2143.0,0.2501459087195051,0.0,324.0,26045.0,3.0401540796077975,0.0,1199.0,19793.0,2.3103770281312013,0.0,498.0,115.0,0.013423602194467142,0.0,63.0,40162.0,4.687988794210342,0.0,847.0
U.S. Virgin Islands,50547.0,10.87734021949645,0.0,1408.0,1089.0,0.2343447385409942,0.0,98.0,10130.0,2.1799010114052075,0.0,1408.0,7431.0,1.5990961910910264,0.0,129.0,94.0,0.02022810415321713,0.0,63.0,31803.0,6.8437701743060035,0.0,615.0
U.S. Pacific Trust Territories and Possessions,9385.0,6.55377094972067,0.0,1391.0,1290.0,0.9008379888268156,0.0,915.0,4346.0,3.0349162011173183,0.0,1382.0,878.0,0.6131284916201117,0.0,55.0,142.0,0.09916201117318436,0.0,86.0,2729.0,1.9057262569832403,0.0,377.0
