ORIGIN,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
SJU,35517.0,15.388648180242635,0.0,0.0,14955.0,6.479636048526863,4137.0,1.7924610051993068,63.0,0.02729636048526863,16362.0,7.089254766031196
ASE,34148.0,37.0770901194354,1937.0,2.1031487513572205,7751.0,8.41585233441911,7970.0,8.653637350705754,68.0,0.0738327904451683,16422.0,17.830618892508145
SJC,34010.0,6.905583756345178,1715.0,0.34822335025380713,9364.0,1.9013197969543147,8693.0,1.7650761421319796,41.0,0.008324873096446701,14197.0,2.8826395939086296
ORF,33626.0,17.440871369294605,1327.0,0.6882780082987552,6456.0,3.3485477178423237,12174.0,6.314315352697095,10.0,0.005186721991701245,13659.0,7.08454356846473
DAL,31507.0,5.068693693693693,364.0,0.05855855855855856,12545.0,2.0181788931788933,6325.0,1.0175353925353925,120.0,0.019305019305019305,12153.0,1.95511583011583
GRR,31308.0,20.788844621513945,4289.0,2.847941567065073,6584.0,4.371845949535192,9522.0,6.322709163346613,5.0,0.0033200531208499337,10908.0,7.243027888446215
BUF,30773.0,16.103087388801676,3159.0,1.653061224489796,7872.0,4.119309262166405,8757.0,4.582417582417582,0.0,0.0,10985.0,5.7482993197278915
HOU,30157.0,6.033813525410164,200.0,0.040016006402561026,13042.0,2.609443777511004,3191.0,0.6384553821528611,59.0,0.011804721888755502,13665.0,2.734093637454982
JAX,30156.0,11.164753794890782,1093.0,0.4046649389115142,8066.0,2.9863013698630136,9199.0,3.405775638652351,0.0,0.0,11798.0,4.368011847463903
OMA,29997.0,14.718842001962708,1468.0,0.7203140333660452,9163.0,4.496074582924436,9442.0,4.63297350343474,0.0,0.0,9924.0,4.869479882237488
RIC,29586.0,15.313664596273291,1926.0,0.9968944099378882,6064.0,3.1387163561076603,12202.0,6.315734989648033,0.0,0.0,9394.0,4.86231884057971
SDF,27829.0,15.573027420257414,2171.0,1.2148852825965304,8230.0,4.605484051482932,8321.0,4.65640738668159,29.0,0.016228315612758813,9078.0,5.080022383883604
OKC,27466.0,14.586298459904407,5380.0,2.857142857142857,6600.0,3.505045140732873,5235.0,2.780138077535847,64.0,0.033988316516197555,10187.0,5.409984067976633
SNA,26373.0,7.720433255269321,955.0,0.27956674473067916,5546.0,1.623536299765808,9646.0,2.8237704918032787,0.0,0.0,10226.0,2.993559718969555
BDL,25372.0,10.615899581589957,1358.0,0.5682008368200837,7362.0,3.0803347280334727,5548.0,2.3213389121338914,0.0,0.0,11104.0,4.6460251046025105
BUR,25055.0,10.540597391670172,326.0,0.137147665124106,8178.0,3.4404711821623897,7072.0,2.9751787968026924,7.0,0.002944888514934792,9472.0,3.9848548590660497
SMF,24647.0,6.18804920913884,562.0,0.14109967361285464,5247.0,1.3173487321114739,7050.0,1.7700225960331408,0.0,0.0,11788.0,2.959578207381371
HNL,24294.0,6.176964149504196,632.0,0.16069158403254513,11088.0,2.8192219679633865,1827.0,0.4645308924485126,1200.0,0.30511060259344014,9547.0,2.427409102466311
OAK,24036.0,5.741997133301481,394.0,0.09412326803631152,8974.0,2.1438127090301005,4518.0,1.0793119923554706,31.0,0.007405637840420449,10119.0,2.4173435260391782
SYR,23669.0,21.05782918149466,1008.0,0.896797153024911,7464.0,6.640569395017794,5684.0,5.056939501779359,0.0,0.0,9513.0,8.463523131672599
RNO,22840.0,14.783171521035598,1210.0,0.7831715210355987,6681.0,4.324271844660194,5824.0,3.76957928802589,0.0,0.0,9125.0,5.906148867313916
DSM,22416.0,16.506627393225333,1578.0,1.1620029455081002,9012.0,6.636229749631812,5687.0,4.187776141384389,0.0,0.0,6139.0,4.520618556701031
SAT,20425.0,6.269183548189073,13.0,0.003990178023327195,4857.0,1.4907918968692448,6288.0,1.9300184162062615,13.0,0.003990178023327195,9254.0,2.840392879066912
BTV,20128.0,28.07252440725244,2980.0,4.156206415620642,3946.0,5.503486750348675,5656.0,7.888423988842399,0.0,0.0,7546.0,10.524407252440724
HPN,19096.0,20.984615384615385,2849.0,3.1307692307692307,6385.0,7.016483516483516,1882.0,2.0681318681318683,6.0,0.006593406593406593,7974.0,8.762637362637363
ROC,18955.0,17.061206120612063,1417.0,1.2754275427542754,4274.0,3.846984698469847,6507.0,5.856885688568857,17.0,0.0153015301530153,6740.0,6.066606660666067
MEM,18803.0,9.712293388429751,1.0,5.165289256198347E-4,5102.0,2.635330578512397,6293.0,3.25051652892562,0.0,0.0,7407.0,3.8259297520661155
MSN,18600.0,18.111002921129504,2412.0,2.3485881207400197,5077.0,4.943524829600779,4519.0,4.400194741966894,0.0,0.0,6592.0,6.418695228821811
OGG,18256.0,8.718242597898758,384.0,0.1833810888252149,9727.0,4.645176695319962,1308.0,0.6246418338108882,0.0,0.0,6837.0,3.2650429799426934
PSP,17902.0,13.551854655563966,591.0,0.4473883421650265,3728.0,2.822104466313399,6446.0,4.879636638909917,0.0,0.0,7137.0,5.4027252081756245
SAV,17509.0,15.042096219931272,1378.0,1.1838487972508591,4524.0,3.88659793814433,5802.0,4.984536082474227,0.0,0.0,5805.0,4.987113402061856
JAC,17115.0,41.14182692307692,1577.0,3.7908653846153846,3037.0,7.300480769230769,3864.0,9.288461538461538,0.0,0.0,8637.0,20.76201923076923
XNA,15421.0,14.71469465648855,172.0,0.16412213740458015,5291.0,5.048664122137405,5139.0,4.903625954198473,42.0,0.04007633587786259,4777.0,4.558206106870229
TUS,15212.0,8.584650112866818,645.0,0.3639954853273138,4858.0,2.7415349887133185,4270.0,2.409706546275395,0.0,0.0,5439.0,3.06941309255079
TYS,14969.0,11.088148148148148,1337.0,0.9903703703703703,4550.0,3.3703703703703702,4101.0,3.037777777777778,29.0,0.02148148148148148,4952.0,3.668148148148148
FAT,14897.0,15.263319672131148,300.0,0.3073770491803279,5756.0,5.897540983606557,3245.0,3.324795081967213,0.0,0.0,5596.0,5.733606557377049
