TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
N584UW,14881.0,10.713462922966162,0.0,750.0,561.0,0.4038876889848812,0.0,93.0,3070.0,2.2102231821454286,0.0,136.0,3569.0,2.5694744420446365,0.0,693.0,4.0,0.0028797696184305254,0.0,4.0,7677.0,5.526997840172786,0.0,732.0
N299WN,14871.0,7.661514683153014,0.0,298.0,316.0,0.1628026790314271,0.0,84.0,5198.0,2.6780010303967026,0.0,281.0,2665.0,1.3730036063884596,0.0,133.0,12.0,0.0061823802163833074,0.0,12.0,6680.0,3.441524987120041,0.0,265.0
N14240,14871.0,13.911131898971002,0.0,1001.0,827.0,0.7736202057998129,0.0,272.0,3332.0,3.116931711880262,0.0,791.0,4770.0,4.462114125350795,0.0,258.0,0.0,0.0,0.0,0.0,5942.0,5.558465855940131,0.0,226.0
N8639B,14868.0,9.428027901077996,0.0,434.0,742.0,0.4705136334812936,0.0,214.0,5951.0,3.7736207989854154,0.0,434.0,2143.0,1.3589093214965124,0.0,135.0,0.0,0.0,0.0,0.0,6032.0,3.8249841471147747,0.0,210.0
246NV,14867.0,11.169797145003757,0.0,503.0,1292.0,0.9706987227648385,0.0,168.0,4336.0,3.2577009767092413,0.0,503.0,2854.0,2.144252441773103,0.0,143.0,46.0,0.03456048084147258,0.0,46.0,6339.0,4.762584522915102,0.0,494.0
N66825,14860.0,11.710007880220646,0.0,1032.0,1845.0,1.4539007092198581,0.0,1014.0,2355.0,1.8557919621749408,0.0,179.0,3518.0,2.772261623325453,0.0,382.0,0.0,0.0,0.0,0.0,7142.0,5.628053585500394,0.0,786.0
N934DN,14848.0,9.409378960709759,0.0,663.0,1247.0,0.7902408111533586,0.0,660.0,6186.0,3.920152091254753,0.0,500.0,2846.0,1.8035487959442331,0.0,191.0,0.0,0.0,0.0,0.0,4569.0,2.8954372623574143,0.0,249.0
N706SW,14845.0,7.302016724053123,0.0,568.0,268.0,0.13182488932611905,0.0,104.0,5943.0,2.923266109198229,0.0,385.0,2362.0,1.161829808165273,0.0,249.0,32.0,0.01574028529267093,0.0,25.0,6240.0,3.069355632070831,0.0,155.0
N121DU,14844.0,28.491362763915546,0.0,1019.0,1152.0,2.2111324376199617,0.0,894.0,4091.0,7.8522072936660265,0.0,998.0,3295.0,6.324376199616123,0.0,332.0,0.0,0.0,0.0,0.0,6306.0,12.103646833013435,0.0,458.0
N376DA,14843.0,13.518214936247723,0.0,1059.0,2049.0,1.866120218579235,0.0,1059.0,6227.0,5.671220400728598,0.0,928.0,3038.0,2.766848816029144,0.0,331.0,0.0,0.0,0.0,0.0,3529.0,3.214025500910747,0.0,246.0
