ROUTE BETWEEN AIRPORTS,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
MBS -> ORD,18961.0,18.71767028627838,0.0,872.0,854.0,0.843040473840079,0.0,752.0,6429.0,6.346495557749259,0.0,872.0,4082.0,4.029615004935835,0.0,373.0,0.0,0.0,0.0,0.0,7596.0,7.498519249753208,0.0,425.0
BIL -> DEN,18959.0,13.869056327724945,0.0,434.0,299.0,0.21872713972201902,0.0,200.0,3156.0,2.3087051938551575,0.0,288.0,6036.0,4.415508412582297,0.0,269.0,0.0,0.0,0.0,0.0,9468.0,6.926115581565472,0.0,434.0
HHH -> ATL,18920.0,28.451127819548873,0.0,1173.0,851.0,1.2796992481203007,0.0,254.0,8481.0,12.753383458646617,0.0,1090.0,3515.0,5.285714285714286,0.0,159.0,46.0,0.06917293233082707,0.0,46.0,6027.0,9.063157894736841,0.0,1054.0
MLU -> ATL,18912.0,14.230248306997742,0.0,884.0,1940.0,1.4597441685477803,0.0,418.0,7252.0,5.45673438675696,0.0,884.0,1081.0,0.8133935289691497,0.0,83.0,203.0,0.1527464258841234,0.0,90.0,8436.0,6.347629796839729,0.0,328.0
LAX -> STL,18899.0,11.143278301886792,0.0,460.0,14.0,0.008254716981132075,0.0,14.0,7401.0,4.3637971698113205,0.0,385.0,1747.0,1.0300707547169812,0.0,68.0,17.0,0.010023584905660377,0.0,17.0,9720.0,5.731132075471698,0.0,392.0
JFK -> CMH,18897.0,14.081222056631892,0.0,848.0,380.0,0.28315946348733234,0.0,92.0,5925.0,4.415052160953801,0.0,843.0,5131.0,3.823397913561848,0.0,792.0,0.0,0.0,0.0,0.0,7461.0,5.559612518628912,0.0,248.0
MSN -> DFW,18893.0,17.790018832391713,0.0,1238.0,2183.0,2.0555555555555554,0.0,467.0,4179.0,3.9350282485875705,0.0,1238.0,6059.0,5.7052730696798495,0.0,304.0,30.0,0.02824858757062147,0.0,25.0,6442.0,6.065913370998117,0.0,437.0
AUS -> PHL,18876.0,20.231511254019292,0.0,1440.0,474.0,0.5080385852090032,0.0,287.0,8215.0,8.804930332261522,0.0,1440.0,2372.0,2.542336548767417,0.0,229.0,3.0,0.003215434083601286,0.0,3.0,7812.0,8.37299035369775,0.0,711.0
MIA -> MSY,18869.0,13.3822695035461,0.0,557.0,1825.0,1.2943262411347518,0.0,499.0,5558.0,3.9418439716312057,0.0,355.0,3395.0,2.4078014184397163,0.0,208.0,0.0,0.0,0.0,0.0,8091.0,5.738297872340426,0.0,240.0
MSP -> FSD,18868.0,8.560798548094374,0.0,1147.0,1141.0,0.5176950998185118,0.0,229.0,6358.0,2.8847549909255896,0.0,215.0,4751.0,2.1556261343012704,0.0,1147.0,0.0,0.0,0.0,0.0,6618.0,3.0027223230490017,0.0,289.0
IAD -> PIT,18867.0,13.41891891891892,0.0,954.0,1355.0,0.9637268847795164,0.0,601.0,9708.0,6.904694167852063,0.0,844.0,1896.0,1.3485064011379801,0.0,224.0,0.0,0.0,0.0,0.0,5908.0,4.2019914651493595,0.0,954.0
SDF -> IAH,18867.0,15.339024390243903,0.0,1005.0,1490.0,1.2113821138211383,0.0,944.0,4040.0,3.2845528455284554,0.0,679.0,7491.0,6.090243902439024,0.0,1005.0,0.0,0.0,0.0,0.0,5846.0,4.752845528455285,0.0,233.0
MKE -> BOS,18860.0,19.483471074380166,0.0,966.0,2622.0,2.708677685950413,0.0,798.0,3982.0,4.113636363636363,0.0,966.0,4910.0,5.072314049586777,0.0,718.0,0.0,0.0,0.0,0.0,7346.0,7.588842975206612,0.0,238.0
DCA -> DEN,18859.0,13.015182884748102,0.0,1013.0,942.0,0.650103519668737,0.0,382.0,4420.0,3.0503795721187026,0.0,1013.0,6434.0,4.440303657694962,0.0,375.0,0.0,0.0,0.0,0.0,7063.0,4.874396135265701,0.0,433.0
IND -> MSP,18824.0,11.285371702637889,0.0,1029.0,713.0,0.4274580335731415,0.0,152.0,7492.0,4.491606714628297,0.0,1029.0,2750.0,1.6486810551558753,0.0,222.0,0.0,0.0,0.0,0.0,7869.0,4.717625899280575,0.0,499.0
HOU -> LAX,18818.0,10.858626658972879,0.0,389.0,663.0,0.3825735718407386,0.0,136.0,10765.0,6.211771494518176,0.0,389.0,2237.0,1.2908251586843624,0.0,120.0,162.0,0.0934795152914022,0.0,75.0,4991.0,2.8799769186382,0.0,169.0
BDL -> IAD,18816.0,13.430406852248394,0.0,1458.0,709.0,0.5060670949321913,0.0,148.0,4288.0,3.060670949321913,0.0,1458.0,4385.0,3.129907209136331,0.0,377.0,0.0,0.0,0.0,0.0,9434.0,6.733761598857958,0.0,1007.0
AVP -> ORD,18805.0,19.426652892561982,0.0,1422.0,2302.0,2.378099173553719,0.0,495.0,6283.0,6.490702479338843,0.0,1389.0,5526.0,5.708677685950414,0.0,504.0,0.0,0.0,0.0,0.0,4694.0,4.849173553719008,0.0,419.0
BUF -> EWR,18802.0,23.06993865030675,0.0,967.0,245.0,0.3006134969325153,0.0,245.0,4861.0,5.96441717791411,0.0,967.0,8769.0,10.759509202453987,0.0,568.0,0.0,0.0,0.0,0.0,4927.0,6.045398773006135,0.0,269.0
ORF -> IAD,18800.0,15.732217573221757,0.0,1093.0,317.0,0.26527196652719665,0.0,105.0,6070.0,5.079497907949791,0.0,1088.0,3513.0,2.9397489539748953,0.0,1093.0,0.0,0.0,0.0,0.0,8900.0,7.447698744769874,0.0,481.0
SJU -> BDL,18791.0,28.471212121212123,0.0,659.0,101.0,0.15303030303030302,0.0,55.0,4777.0,7.237878787878788,0.0,369.0,1637.0,2.4803030303030305,0.0,61.0,0.0,0.0,0.0,0.0,12276.0,18.6,0.0,617.0
RSW -> CLT,18761.0,9.979255319148937,0.0,1020.0,619.0,0.3292553191489362,0.0,178.0,7928.0,4.217021276595744,0.0,1020.0,1528.0,0.8127659574468085,0.0,114.0,0.0,0.0,0.0,0.0,8686.0,4.620212765957447,0.0,385.0
DAL -> MCI,18738.0,8.931363203050525,0.0,265.0,726.0,0.34604385128693993,0.0,248.0,6451.0,3.074833174451859,0.0,257.0,1947.0,0.9280266920877026,0.0,120.0,0.0,0.0,0.0,0.0,9614.0,4.582459485224023,0.0,239.0
PAH -> ORD,18722.0,27.491923641703377,0.0,1073.0,257.0,0.37738619676945667,0.0,151.0,2715.0,3.986784140969163,0.0,1073.0,5314.0,7.803230543318649,0.0,941.0,0.0,0.0,0.0,0.0,10436.0,15.324522760646108,0.0,738.0
HOU -> LGA,18720.0,17.913875598086126,0.0,306.0,493.0,0.4717703349282297,0.0,222.0,7575.0,7.248803827751196,0.0,306.0,7453.0,7.132057416267942,0.0,212.0,62.0,0.05933014354066986,0.0,37.0,3137.0,3.001913875598086,0.0,196.0
OAK -> LGB,18707.0,8.445598194130925,0.0,917.0,62.0,0.02799097065462754,0.0,57.0,8438.0,3.8094808126410835,0.0,917.0,569.0,0.2568848758465011,0.0,39.0,149.0,0.0672686230248307,0.0,74.0,9489.0,4.2839729119638825,0.0,323.0
PIT -> IAH,18695.0,10.045674368619022,0.0,389.0,456.0,0.24502955400322407,0.0,119.0,2954.0,1.587318645889307,0.0,244.0,7591.0,4.07898979043525,0.0,300.0,0.0,0.0,0.0,0.0,7694.0,4.134336378291241,0.0,371.0
IAH -> ABQ,18686.0,12.886896551724139,0.0,766.0,1392.0,0.96,0.0,221.0,8738.0,6.026206896551724,0.0,766.0,2553.0,1.7606896551724138,0.0,132.0,0.0,0.0,0.0,0.0,6003.0,4.14,0.0,569.0
LAX -> MRY,18676.0,13.170662905500706,0.0,870.0,338.0,0.2383638928067701,0.0,227.0,9474.0,6.681241184767278,0.0,870.0,1453.0,1.024682651622003,0.0,305.0,0.0,0.0,0.0,0.0,7411.0,5.226375176304654,0.0,479.0
MCO -> ISP,18674.0,13.444204463642908,0.0,352.0,749.0,0.5392368610511159,0.0,106.0,5732.0,4.126709863210943,0.0,287.0,2201.0,1.5845932325413967,0.0,118.0,10.0,0.007199424046076314,0.0,10.0,9982.0,7.186465082793377,0.0,352.0
DEN -> JAC,18670.0,18.72617853560682,0.0,916.0,5287.0,5.3029087261785355,0.0,710.0,3782.0,3.793380140421264,0.0,469.0,1475.0,1.4794383149448345,0.0,57.0,0.0,0.0,0.0,0.0,8126.0,8.150451354062186,0.0,368.0
CHS -> ATL,18669.0,5.178640776699029,0.0,498.0,1391.0,0.3858529819694868,0.0,324.0,3767.0,1.0449375866851596,0.0,290.0,6863.0,1.90374479889043,0.0,498.0,0.0,0.0,0.0,0.0,6648.0,1.8441054091539528,0.0,243.0
LRD -> IAH,18646.0,18.664664664664663,0.0,1218.0,1035.0,1.0360360360360361,0.0,866.0,5629.0,5.634634634634635,0.0,1212.0,7346.0,7.353353353353353,0.0,433.0,0.0,0.0,0.0,0.0,4636.0,4.64064064064064,0.0,224.0
MSP -> JFK,18639.0,13.144569816643159,0.0,990.0,3125.0,2.203808180535966,0.0,984.0,4220.0,2.9760225669957685,0.0,221.0,8827.0,6.224964739069112,0.0,397.0,0.0,0.0,0.0,0.0,2467.0,1.7397743300423132,0.0,365.0
IAH -> TUS,18613.0,16.25589519650655,0.0,776.0,484.0,0.422707423580786,0.0,144.0,8029.0,7.012227074235808,0.0,771.0,2832.0,2.473362445414847,0.0,129.0,0.0,0.0,0.0,0.0,7268.0,6.347598253275109,0.0,266.0
GSO -> EWR,18612.0,30.611842105263158,0.0,1317.0,0.0,0.0,0.0,0.0,3206.0,5.2730263157894735,0.0,310.0,11613.0,19.10032894736842,0.0,1317.0,0.0,0.0,0.0,0.0,3793.0,6.238486842105263,0.0,236.0
ORD -> PIA,18610.0,15.771186440677965,0.0,656.0,2280.0,1.9322033898305084,0.0,656.0,5946.0,5.038983050847458,0.0,595.0,3905.0,3.309322033898305,0.0,93.0,0.0,0.0,0.0,0.0,6479.0,5.490677966101695,0.0,386.0
DCA -> MDW,18604.0,8.573271889400921,0.0,312.0,1124.0,0.5179723502304148,0.0,270.0,4867.0,2.242857142857143,0.0,209.0,4140.0,1.9078341013824884,0.0,312.0,0.0,0.0,0.0,0.0,8473.0,3.9046082949308754,0.0,308.0
SLC -> LGB,18580.0,7.9845294370434035,0.0,1756.0,1037.0,0.4456381607219596,0.0,226.0,7649.0,3.2870648904168456,0.0,1756.0,1812.0,0.7786850021486893,0.0,76.0,17.0,0.00730554361839278,0.0,17.0,8065.0,3.465835840137516,0.0,579.0
PIT -> MCO,18555.0,10.01889848812095,0.0,707.0,688.0,0.3714902807775378,0.0,246.0,5028.0,2.714902807775378,0.0,560.0,3969.0,2.1430885529157666,0.0,349.0,5.0,0.0026997840172786176,0.0,5.0,8865.0,4.786717062634989,0.0,699.0
CID -> DTW,18548.0,16.213286713286713,0.0,1297.0,5658.0,4.945804195804196,0.0,1292.0,5140.0,4.493006993006993,0.0,449.0,2243.0,1.9606643356643356,0.0,243.0,0.0,0.0,0.0,0.0,5507.0,4.813811188811189,0.0,397.0
DAL -> SAN,18526.0,10.988137603795966,0.0,614.0,339.0,0.20106761565836298,0.0,120.0,6913.0,4.10023724792408,0.0,561.0,2699.0,1.6008303677342823,0.0,72.0,61.0,0.036180308422301306,0.0,27.0,8514.0,5.049822064056939,0.0,430.0
ACK -> JFK,18522.0,38.99368421052632,0.0,1289.0,63.0,0.13263157894736843,0.0,45.0,5460.0,11.494736842105263,0.0,1186.0,2097.0,4.414736842105263,0.0,375.0,45.0,0.09473684210526316,0.0,27.0,10857.0,22.85684210526316,0.0,415.0
DTW -> LEX,18514.0,14.015140045420136,0.0,860.0,1916.0,1.4504163512490538,0.0,485.0,9374.0,7.096139288417866,0.0,706.0,1971.0,1.4920514761544286,0.0,338.0,18.0,0.013626040878122634,0.0,18.0,5235.0,3.962906888720666,0.0,844.0
DAY -> PHL,18510.0,12.77432712215321,0.0,590.0,204.0,0.14078674948240166,0.0,44.0,6954.0,4.799171842650104,0.0,590.0,4095.0,2.8260869565217392,0.0,310.0,0.0,0.0,0.0,0.0,7257.0,5.008281573498965,0.0,321.0
MSN -> MSP,18509.0,10.136363636363637,0.0,1444.0,2505.0,1.3718510405257394,0.0,1388.0,1825.0,0.9994523548740416,0.0,309.0,4795.0,2.6259583789704273,0.0,444.0,0.0,0.0,0.0,0.0,9384.0,5.139101861993428,0.0,293.0
DFW -> MKE,18502.0,14.511372549019608,0.0,275.0,817.0,0.6407843137254902,0.0,199.0,6532.0,5.123137254901961,0.0,275.0,1803.0,1.4141176470588235,0.0,150.0,0.0,0.0,0.0,0.0,9350.0,7.333333333333333,0.0,196.0
DFW -> SJC,18490.0,13.788217747949291,0.0,326.0,697.0,0.5197613721103654,0.0,206.0,8137.0,6.06785980611484,0.0,295.0,3258.0,2.4295302013422817,0.0,145.0,0.0,0.0,0.0,0.0,6398.0,4.771066368381804,0.0,260.0
IAH -> LBB,18490.0,15.776450511945393,0.0,942.0,1567.0,1.3370307167235496,0.0,666.0,7766.0,6.626279863481229,0.0,942.0,3368.0,2.8737201365187715,0.0,240.0,0.0,0.0,0.0,0.0,5789.0,4.939419795221843,0.0,293.0
DEN -> DRO,18485.0,15.772184300341298,0.0,749.0,1898.0,1.6194539249146758,0.0,744.0,6887.0,5.876279863481229,0.0,664.0,2965.0,2.529863481228669,0.0,195.0,0.0,0.0,0.0,0.0,6735.0,5.746587030716723,0.0,287.0
EWR -> PDX,18465.0,18.138506876227897,0.0,390.0,1359.0,1.3349705304518664,0.0,340.0,4219.0,4.144400785854617,0.0,253.0,4837.0,4.751473477406679,0.0,390.0,0.0,0.0,0.0,0.0,8050.0,7.907662082514735,0.0,243.0
DFW -> FSD,18463.0,22.19110576923077,0.0,720.0,916.0,1.1009615384615385,0.0,245.0,5495.0,6.6045673076923075,0.0,521.0,2359.0,2.8353365384615383,0.0,286.0,12.0,0.014423076923076924,0.0,12.0,9681.0,11.635817307692308,0.0,306.0
LAN -> ORD,18455.0,17.952334630350194,0.0,745.0,2022.0,1.9669260700389104,0.0,698.0,5832.0,5.673151750972763,0.0,740.0,4694.0,4.566147859922179,0.0,333.0,0.0,0.0,0.0,0.0,5907.0,5.746108949416342,0.0,317.0
DCA -> ALB,18454.0,16.806921675774134,0.0,382.0,1019.0,0.9280510018214936,0.0,322.0,6943.0,6.323315118397086,0.0,235.0,2488.0,2.265938069216758,0.0,274.0,45.0,0.040983606557377046,0.0,30.0,7959.0,7.248633879781421,0.0,265.0
SLC -> SJC,18443.0,8.799141221374045,0.0,756.0,571.0,0.2724236641221374,0.0,184.0,8379.0,3.997614503816794,0.0,743.0,2141.0,1.021469465648855,0.0,58.0,17.0,0.008110687022900763,0.0,17.0,7335.0,3.499522900763359,0.0,316.0
DTW -> IND,18441.0,8.577209302325581,0.0,848.0,3351.0,1.5586046511627907,0.0,653.0,6713.0,3.1223255813953488,0.0,246.0,2428.0,1.1293023255813954,0.0,135.0,26.0,0.012093023255813953,0.0,26.0,5923.0,2.7548837209302324,0.0,204.0
ATW -> DTW,18434.0,20.947727272727274,0.0,1150.0,3998.0,4.543181818181818,0.0,1150.0,2598.0,2.952272727272727,0.0,306.0,2031.0,2.3079545454545456,0.0,92.0,0.0,0.0,0.0,0.0,9807.0,11.144318181818182,0.0,647.0
GSP -> LGA,18423.0,23.086466165413533,0.0,1316.0,919.0,1.1516290726817042,0.0,422.0,6030.0,7.556390977443609,0.0,1056.0,7971.0,9.988721804511279,0.0,1298.0,0.0,0.0,0.0,0.0,3503.0,4.389724310776942,0.0,250.0
SNA -> SLC,18423.0,10.667631731325999,0.0,1122.0,60.0,0.03474232773595831,0.0,40.0,7575.0,4.386218876664737,0.0,1073.0,1188.0,0.6878980891719745,0.0,66.0,0.0,0.0,0.0,0.0,9600.0,5.55877243775333,0.0,415.0
LAX -> ASE,18405.0,19.94041170097508,0.0,1040.0,432.0,0.46803900325027087,0.0,201.0,9180.0,9.945828819068256,0.0,1018.0,4113.0,4.456121343445287,0.0,699.0,0.0,0.0,0.0,0.0,4680.0,5.070422535211268,0.0,224.0
ATL -> HHH,18385.0,27.605105105105107,0.0,1125.0,1991.0,2.9894894894894897,0.0,866.0,8473.0,12.722222222222221,0.0,1090.0,1193.0,1.7912912912912913,0.0,50.0,0.0,0.0,0.0,0.0,6728.0,10.102102102102101,0.0,1046.0
GRR -> LGA,18367.0,20.362527716186253,0.0,572.0,1885.0,2.08980044345898,0.0,275.0,3645.0,4.041019955654102,0.0,572.0,6738.0,7.470066518847006,0.0,415.0,0.0,0.0,0.0,0.0,6099.0,6.761640798226164,0.0,441.0
CAK -> EWR,18357.0,46.59137055837564,0.0,1066.0,183.0,0.46446700507614214,0.0,94.0,2557.0,6.48984771573604,0.0,981.0,13434.0,34.09644670050761,0.0,1066.0,0.0,0.0,0.0,0.0,2183.0,5.540609137055838,0.0,273.0
DFW -> RSW,18341.0,14.851012145748987,0.0,773.0,2035.0,1.6477732793522266,0.0,659.0,6078.0,4.921457489878542,0.0,318.0,3460.0,2.8016194331983804,0.0,164.0,0.0,0.0,0.0,0.0,6768.0,5.480161943319838,0.0,231.0
AUS -> CLT,18340.0,10.546290971822886,0.0,1243.0,1003.0,0.5767682576193215,0.0,269.0,5529.0,3.179413456009201,0.0,1238.0,3582.0,2.0598044853364,0.0,187.0,0.0,0.0,0.0,0.0,8226.0,4.730304772857965,0.0,747.0
MDW -> CMH,18339.0,9.467733608673205,0.0,299.0,506.0,0.26122870418172434,0.0,226.0,8232.0,4.249870934434693,0.0,196.0,1484.0,0.766133195663397,0.0,189.0,0.0,0.0,0.0,0.0,8117.0,4.190500774393392,0.0,291.0
STL -> MDW,18334.0,7.585436491518411,0.0,409.0,418.0,0.17294166321886636,0.0,130.0,5368.0,2.220935043442284,0.0,305.0,3474.0,1.437318990484071,0.0,409.0,11.0,0.004551096400496483,0.0,7.0,9063.0,3.7496896979726935,0.0,260.0
ATL -> CVG,18326.0,6.575529242913527,0.0,635.0,1015.0,0.3641908862576247,0.0,296.0,10319.0,3.702547542160029,0.0,635.0,2349.0,0.8428417653390743,0.0,103.0,41.0,0.014711158952278435,0.0,41.0,4602.0,1.651237890204521,0.0,271.0
ATL -> TRI,18304.0,8.699619771863118,0.0,552.0,3254.0,1.546577946768061,0.0,449.0,7253.0,3.4472433460076046,0.0,551.0,1377.0,0.654467680608365,0.0,92.0,27.0,0.012832699619771864,0.0,27.0,6393.0,3.0384980988593155,0.0,273.0
MIA -> DTW,18301.0,12.897110641296688,0.0,1075.0,576.0,0.4059196617336152,0.0,88.0,5465.0,3.8513037350246653,0.0,565.0,4337.0,3.0563777307963353,0.0,1075.0,70.0,0.04933051444679352,0.0,70.0,7853.0,5.534178999295278,0.0,951.0
CHS -> ORD,18299.0,14.011485451761102,0.0,915.0,99.0,0.07580398162327719,0.0,73.0,1820.0,1.3935681470137826,0.0,352.0,8988.0,6.88208269525268,0.0,551.0,0.0,0.0,0.0,0.0,7392.0,5.660030627871363,0.0,915.0
DCA -> MSY,18292.0,8.45286506469501,0.0,269.0,895.0,0.4135859519408503,0.0,202.0,3158.0,1.4593345656192236,0.0,141.0,4628.0,2.1386321626617377,0.0,150.0,5.0,0.0023105360443622922,0.0,5.0,9606.0,4.439001848428836,0.0,237.0
DCA -> GSP,18286.0,21.28754365541327,0.0,404.0,712.0,0.8288707799767171,0.0,377.0,5911.0,6.881257275902212,0.0,260.0,2388.0,2.779976717112922,0.0,265.0,0.0,0.0,0.0,0.0,9275.0,10.797438882421421,0.0,292.0
BNA -> DTW,18281.0,6.718485850790151,0.0,341.0,312.0,0.11466372657111357,0.0,114.0,6400.0,2.3520764424843805,0.0,338.0,1647.0,0.6052921719955898,0.0,163.0,0.0,0.0,0.0,0.0,9922.0,3.6464535097390667,0.0,338.0
CLT -> CLE,18278.0,7.521810699588477,0.0,615.0,1104.0,0.454320987654321,0.0,250.0,6682.0,2.7497942386831276,0.0,516.0,2185.0,0.8991769547325102,0.0,103.0,16.0,0.006584362139917695,0.0,9.0,8291.0,3.4119341563786008,0.0,192.0
