DEST_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Lexington, KY",125571.0,13.719108489019993,8089.0,0.8837539604501257,46717.0,5.104009614334098,19024.0,2.078444225936851,155.0,0.016934338468261773,51586.0,5.635966349830657
"Spokane, WA",124719.0,10.364746945898778,5480.0,0.4554142774038062,49327.0,4.099310230200283,14049.0,1.1675392670157068,375.0,0.031164298180004987,55488.0,4.611318873098978
"Huntsville, AL",119901.0,12.352014010507881,8918.0,0.9187184506026579,42382.0,4.366127536829093,16256.0,1.67466776553003,72.0,0.007417327701658597,52273.0,5.385082929844442
"South Bend, IN",118781.0,17.005153901216893,18782.0,2.68890479599141,40151.0,5.7481746599856836,11098.0,1.5888332140300645,198.0,0.028346456692913385,48552.0,6.950894774516822
"Cedar Rapids/Iowa City, IA",116077.0,12.23408516020236,12021.0,1.266968802698145,36809.0,3.8795320404721756,20144.0,2.123102866779089,135.0,0.01422849915682968,46968.0,4.950252951096122
"Valparaiso, FL",115697.0,13.145892512214521,11321.0,1.2863310987387797,37435.0,4.253493921145324,17198.0,1.9540961254402909,217.0,0.024656289058061585,49526.0,5.627315077832065
"Chattanooga, TN",113311.0,12.685960591133005,10892.0,1.219435736677116,36206.0,4.053515450067175,15433.0,1.727832512315271,13.0,0.0014554411106135244,50767.0,5.68372145096283
"St. Petersburg, FL",111250.0,14.399430494434377,10232.0,1.3243593062386747,36754.0,4.75718353611183,16347.0,2.1158426093709553,128.0,0.016567434636293038,47789.0,6.185477608076624
"Santa Barbara, CA",110305.0,14.960667299606673,6315.0,0.8565034585650346,41544.0,5.634612776346128,12356.0,1.675844296758443,64.0,0.0086803200868032,50026.0,6.785026447850265
"Jackson/Vicksburg, MS",110166.0,13.436516648371752,7552.0,0.9210879375533602,41704.0,5.086473960239053,16221.0,1.978412001463593,31.0,0.0037809488962068545,44658.0,5.446761800219539
"Fort Wayne, IN",105172.0,14.867401752897937,11354.0,1.60503251342946,40455.0,5.71882951653944,11492.0,1.6245405711054566,385.0,0.05442465366129488,41486.0,5.864574498162284
"Springfield, MO",103930.0,12.045665275846083,8743.0,1.0133286972647195,32824.0,3.8043579044969866,18684.0,2.165507649513213,56.0,0.006490496059341678,43623.0,5.055980528511822
"Sioux Falls, SD",103025.0,14.423211535769285,5878.0,0.8229035419291614,38809.0,5.4331513369732605,17790.0,2.4905501889962203,12.0,0.0016799664006719867,40536.0,5.674926501469971
"Punta Gorda, FL",97109.0,18.134267040149393,8806.0,1.6444444444444444,34755.0,6.490196078431373,14552.0,2.7174603174603176,150.0,0.028011204481792718,38846.0,7.254154995331466
"Manchester, NH",97024.0,11.92527040314651,5957.0,0.7321779744346116,31210.0,3.8360373647984267,11072.0,1.3608652900688298,372.0,0.045722713864306784,48413.0,5.950467059980334
"Baton Rouge, LA",96526.0,12.545619963608006,7593.0,0.9868728879646478,44670.0,5.80582271900182,13995.0,1.818949831037172,0.0,0.0,30268.0,3.9339745256043672
"Charlottesville, VA",94217.0,15.960867355581907,10606.0,1.7967135354904287,30511.0,5.168727765542944,14747.0,2.498221243435541,151.0,0.025580213450787734,38202.0,6.471624597662205
"Sarasota/Bradenton, FL",93585.0,11.097474208466737,3873.0,0.45926716471006757,33338.0,3.953278785722756,19709.0,2.337127949721333,67.0,0.007944978062374007,36598.0,4.339855330250208
"Lubbock, TX",92917.0,13.088744893646993,5273.0,0.7427806733342724,33608.0,4.734187913790675,11103.0,1.5640231018453303,31.0,0.004366812227074236,42902.0,6.043386392449641
"Columbia, SC",91890.0,12.32760933726858,5230.0,0.7016367051247653,28574.0,3.833378052052589,11886.0,1.5945800912261874,32.0,0.004292997048564529,46168.0,6.193721491816475
"Shreveport, LA",88563.0,12.48245243128964,9236.0,1.3017618040873855,31069.0,4.378999295278365,12227.0,1.7233262861169838,10.0,0.0014094432699083862,36021.0,5.076955602536998
"Fargo, ND",85067.0,14.08860549850944,9883.0,1.6368002649884068,35892.0,5.9443524345809875,13733.0,2.2744286187479297,16.0,0.002649884067572044,25543.0,4.230374296124545
"San Luis Obispo, CA",80891.0,15.320265151515152,8585.0,1.6259469696969697,32576.0,6.16969696969697,8596.0,1.628030303030303,36.0,0.006818181818181818,31098.0,5.889772727272727
"Mobile, AL",78930.0,14.127438696975121,9386.0,1.6799713620905674,29389.0,5.260247001968856,11384.0,2.0375872561303026,30.0,0.005369608018614641,28741.0,5.14426346876678
"Wilmington, NC",77779.0,11.310018903591683,4592.0,0.6677330231205467,23176.0,3.3700741602442927,13028.0,1.8944307110658718,91.0,0.013232514177693762,36892.0,5.364548494983278
"Kona, HI",75984.0,4.9072591061741155,2062.0,0.13316972358563678,32517.0,2.100038749677086,15768.0,1.0183415138207181,337.0,0.021764401963316974,25300.0,1.6339447171273573
"Bozeman, MT",74781.0,10.96817248459959,4481.0,0.6572308594895864,28422.0,4.168671164564389,10958.0,1.6072161924317983,15.0,0.0022000586682311527,30905.0,4.532854209445585
