ROUTE_PATH,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,_c45,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,ORIGIN_UTC_LOCAL_TIME_VARIATION,DEST_LATITUDE,DEST_LONGITUDE,DEST_UTC_LOCAL_TIME_VARIATION,WHEELS_OFF_UTC_DATETIME,WHEELS_ON_UTC_DATETIME
1169706->1161802,2019,1,3,8,5,2019-03-08T00:00:00.000Z,NK,20416,N680NK,1520,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,11618,1161802,EWR,"Newark, NJ",NJ,New Jersey,920,915,-5.0,12.0,927,1155,3.0,1217,1158,-19.0,0.0,"",0.0,177.0,163.0,148.0,1065.0,5,"","","","","","",26.07166667,-80.14972222,-500,40.6925,-74.16861111,-500,2019-03-08T14:27:00.000Z,2019-03-08T16:55:00.000Z
1169706->1161802,2019,1,3,8,5,2019-03-08T00:00:00.000Z,UA,19977,N28478,1702,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,11618,1161802,EWR,"Newark, NJ",NJ,New Jersey,1255,1247,-8.0,15.0,1302,1532,11.0,1600,1543,-17.0,0.0,"",0.0,185.0,176.0,150.0,1065.0,5,"","","","","","",26.07166667,-80.14972222,-500,40.6925,-74.16861111,-500,2019-03-08T18:02:00.000Z,2019-03-08T20:32:00.000Z
1169706->1161802,2019,1,3,8,5,2019-03-08T00:00:00.000Z,UA,19977,N62849,1688,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,11618,1161802,EWR,"Newark, NJ",NJ,New Jersey,1025,1018,-7.0,14.0,1032,1257,5.0,1319,1302,-17.0,0.0,"",0.0,174.0,164.0,145.0,1065.0,5,"","","","","","",26.07166667,-80.14972222,-500,40.6925,-74.16861111,-500,2019-03-08T15:32:00.000Z,2019-03-08T17:57:00.000Z
1169706->1161802,2019,1,3,8,5,2019-03-08T00:00:00.000Z,UA,19977,N73259,1637,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,11618,1161802,EWR,"Newark, NJ",NJ,New Jersey,647,1424,457.0,21.0,1445,1721,9.0,939,1730,471.0,0.0,"",0.0,172.0,186.0,156.0,1065.0,5,0.0,0.0,14.0,0.0,457.0,"",26.07166667,-80.14972222,-500,40.6925,-74.16861111,-500,2019-03-08T19:45:00.000Z,2019-03-08T22:21:00.000Z
1169706->1161802,2019,1,3,8,5,2019-03-08T00:00:00.000Z,B6,20409,N537JT,6,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,11618,1161802,EWR,"Newark, NJ",NJ,New Jersey,1415,1410,-5.0,15.0,1425,1658,12.0,1721,1710,-11.0,0.0,"",0.0,186.0,180.0,153.0,1065.0,5,"","","","","","",26.07166667,-80.14972222,-500,40.6925,-74.16861111,-500,2019-03-08T19:25:00.000Z,2019-03-08T21:58:00.000Z
1169706->1161802,2019,1,3,8,5,2019-03-08T00:00:00.000Z,B6,20409,N584JB,306,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,11618,1161802,EWR,"Newark, NJ",NJ,New Jersey,825,820,-5.0,13.0,833,1101,6.0,1122,1107,-15.0,0.0,"",0.0,177.0,167.0,148.0,1065.0,5,"","","","","","",26.07166667,-80.14972222,-500,40.6925,-74.16861111,-500,2019-03-08T13:33:00.000Z,2019-03-08T16:01:00.000Z
1169706->1161802,2019,1,3,8,5,2019-03-08T00:00:00.000Z,B6,20409,N520JB,1606,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,11618,1161802,EWR,"Newark, NJ",NJ,New Jersey,1558,1550,-8.0,12.0,1602,1838,7.0,1906,1845,-21.0,0.0,"",0.0,188.0,175.0,156.0,1065.0,5,"","","","","","",26.07166667,-80.14972222,-500,40.6925,-74.16861111,-500,2019-03-08T21:02:00.000Z,2019-03-08T23:38:00.000Z
1169706->1161802,2019,1,3,8,5,2019-03-08T00:00:00.000Z,UA,19977,N62889,2335,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,11618,1161802,EWR,"Newark, NJ",NJ,New Jersey,1444,1436,-8.0,17.0,1453,1730,8.0,1749,1738,-11.0,0.0,"",0.0,185.0,182.0,157.0,1065.0,5,"","","","","","",26.07166667,-80.14972222,-500,40.6925,-74.16861111,-500,2019-03-08T19:53:00.000Z,2019-03-08T22:30:00.000Z
1169706->1161802,2019,1,3,8,5,2019-03-08T00:00:00.000Z,UA,19977,N38479,2334,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,11618,1161802,EWR,"Newark, NJ",NJ,New Jersey,1155,1152,-3.0,21.0,1213,1451,8.0,1500,1459,-1.0,0.0,"",0.0,185.0,187.0,158.0,1065.0,5,"","","","","","",26.07166667,-80.14972222,-500,40.6925,-74.16861111,-500,2019-03-08T17:13:00.000Z,2019-03-08T19:51:00.000Z
1227805->1046602,2019,1,3,8,5,2019-03-08T00:00:00.000Z,G4,20368,250NV,543,12278,1227805,ICT,"Wichita, KS",KS,Kansas,10466,1046602,AZA,"Phoenix, AZ",AZ,Arizona,1533,1523,-10.0,10.0,1533,1645,5.0,1656,1650,-6.0,0.0,"",0.0,143.0,147.0,132.0,855.0,4,"","","","","","",37.65,-97.43305556,-600,33.30777778,-111.65555556,-700,2019-03-08T21:33:00.000Z,2019-03-08T23:45:00.000Z
1393007->1169706,2019,1,3,8,5,2019-03-08T00:00:00.000Z,UA,19977,N33292,832,13930,1393007,ORD,"Chicago, IL",IL,Illinois,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,810,809,-1.0,38.0,847,1208,4.0,1216,1212,-4.0,0.0,"",0.0,186.0,183.0,141.0,1182.0,5,"","","","","","",41.97444444,-87.90666667,-600,26.07166667,-80.14972222,-500,2019-03-08T14:47:00.000Z,2019-03-08T17:08:00.000Z
1393007->1169706,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N148AN,321,13930,1393007,ORD,"Chicago, IL",IL,Illinois,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,755,751,-4.0,46.0,837,1157,3.0,1155,1200,5.0,0.0,"",0.0,180.0,189.0,140.0,1182.0,5,"","","","","","",41.97444444,-87.90666667,-600,26.07166667,-80.14972222,-500,2019-03-08T14:37:00.000Z,2019-03-08T16:57:00.000Z
