ROUTE_BETWEEN_STATES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Georgia->Utah,871.0,3.8370044052863435,0.0,0.0,483.0,2.1277533039647576,164.0,0.7224669603524229,0.0,0.0,224.0,0.986784140969163
Pennsylvania->Wisconsin,870.0,17.058823529411764,0.0,0.0,104.0,2.0392156862745097,128.0,2.5098039215686274,0.0,0.0,638.0,12.509803921568627
Georgia->Puerto Rico,867.0,7.539130434782609,0.0,0.0,165.0,1.434782608695652,436.0,3.791304347826087,0.0,0.0,266.0,2.3130434782608695
Maryland->Pennsylvania,860.0,9.772727272727273,44.0,0.5,290.0,3.2954545454545454,47.0,0.5340909090909091,0.0,0.0,479.0,5.443181818181818
Indiana->Utah,846.0,31.333333333333332,102.0,3.7777777777777777,681.0,25.22222222222222,63.0,2.3333333333333335,0.0,0.0,0.0,0.0
Arizona->Montana,843.0,20.5609756097561,39.0,0.9512195121951219,151.0,3.682926829268293,449.0,10.951219512195122,0.0,0.0,204.0,4.975609756097561
Maryland->Missouri,840.0,5.419354838709677,102.0,0.6580645161290323,288.0,1.8580645161290323,63.0,0.4064516129032258,0.0,0.0,387.0,2.496774193548387
Missouri->Washington,819.0,6.157894736842105,233.0,1.7518796992481203,232.0,1.744360902255639,285.0,2.142857142857143,15.0,0.11278195488721804,54.0,0.40601503759398494
Kansas->Georgia,809.0,9.51764705882353,0.0,0.0,734.0,8.635294117647058,55.0,0.6470588235294118,0.0,0.0,20.0,0.23529411764705882
Kentucky->Arizona,806.0,12.59375,7.0,0.109375,207.0,3.234375,208.0,3.25,0.0,0.0,384.0,6.0
Minnesota->Maryland,803.0,5.537931034482758,109.0,0.7517241379310344,318.0,2.193103448275862,156.0,1.0758620689655172,0.0,0.0,220.0,1.5172413793103448
New York->New Hampshire,802.0,36.45454545454545,0.0,0.0,127.0,5.7727272727272725,27.0,1.2272727272727273,0.0,0.0,648.0,29.454545454545453
Iowa->Nevada,800.0,16.0,0.0,0.0,180.0,3.6,82.0,1.64,0.0,0.0,538.0,10.76
Arizona->Kentucky,797.0,12.453125,0.0,0.0,320.0,5.0,50.0,0.78125,0.0,0.0,427.0,6.671875
North Carolina->Puerto Rico,793.0,8.619565217391305,0.0,0.0,255.0,2.7717391304347827,300.0,3.260869565217391,23.0,0.25,215.0,2.3369565217391304
New Mexico->Colorado,790.0,5.93984962406015,49.0,0.3684210526315789,187.0,1.406015037593985,295.0,2.218045112781955,0.0,0.0,259.0,1.9473684210526316
Missouri->Louisiana,786.0,8.361702127659575,0.0,0.0,262.0,2.7872340425531914,199.0,2.117021276595745,0.0,0.0,325.0,3.4574468085106385
Nebraska->Virginia,785.0,14.81132075471698,4.0,0.07547169811320754,293.0,5.528301886792453,225.0,4.245283018867925,0.0,0.0,263.0,4.962264150943396
Connecticut->Texas,784.0,9.44578313253012,181.0,2.180722891566265,302.0,3.63855421686747,220.0,2.6506024096385543,0.0,0.0,81.0,0.9759036144578314
Maine->Georgia,777.0,29.884615384615383,31.0,1.1923076923076923,637.0,24.5,109.0,4.1923076923076925,0.0,0.0,0.0,0.0
Ohio->Tennessee,776.0,6.413223140495868,0.0,0.0,403.0,3.330578512396694,203.0,1.677685950413223,0.0,0.0,170.0,1.4049586776859504
Louisiana->Michigan,773.0,6.663793103448276,0.0,0.0,25.0,0.21551724137931033,14.0,0.1206896551724138,0.0,0.0,734.0,6.327586206896552
Arizona->Pennsylvania,772.0,2.547854785478548,0.0,0.0,254.0,0.8382838283828383,175.0,0.5775577557755776,23.0,0.07590759075907591,320.0,1.056105610561056
Missouri->Tennessee,771.0,4.974193548387097,0.0,0.0,357.0,2.303225806451613,190.0,1.2258064516129032,0.0,0.0,224.0,1.4451612903225806
Nebraska->Missouri,770.0,11.492537313432836,0.0,0.0,345.0,5.149253731343284,85.0,1.2686567164179106,0.0,0.0,340.0,5.074626865671642
Pennsylvania->Nevada,770.0,4.782608695652174,2.0,0.012422360248447204,258.0,1.6024844720496894,220.0,1.3664596273291925,0.0,0.0,290.0,1.8012422360248448
Puerto Rico->North Carolina,769.0,8.358695652173912,0.0,0.0,283.0,3.0760869565217392,214.0,2.3260869565217392,0.0,0.0,272.0,2.9565217391304346
Virginia->Washington,756.0,4.271186440677966,187.0,1.0564971751412429,33.0,0.1864406779661017,310.0,1.7514124293785311,0.0,0.0,226.0,1.2768361581920904
Virginia->Iowa,756.0,24.387096774193548,52.0,1.6774193548387097,204.0,6.580645161290323,212.0,6.838709677419355,0.0,0.0,288.0,9.290322580645162
Arizona->Indiana,752.0,6.214876033057851,0.0,0.0,414.0,3.4214876033057853,145.0,1.1983471074380165,0.0,0.0,193.0,1.5950413223140496
