ORIGIN_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Clarksburg/Fairmont, WV",21651.0,25.29322429906542,1152.0,1.3457943925233644,9726.0,11.36214953271028,5158.0,6.025700934579439,0.0,0.0,5615.0,6.559579439252336
"Hancock/Houghton, MI",21596.0,29.664835164835164,1806.0,2.480769230769231,9537.0,13.100274725274724,4780.0,6.565934065934066,0.0,0.0,5473.0,7.517857142857143
"Great Falls, MT",21352.0,11.882025598219254,3653.0,2.0328324986087924,8252.0,4.592097941012799,3019.0,1.6800222593210907,0.0,0.0,6428.0,3.577072899276572
"Flagstaff, AZ",20888.0,10.485943775100402,3627.0,1.8207831325301205,6477.0,3.2515060240963853,1985.0,0.9964859437751004,0.0,0.0,8799.0,4.417168674698795
"Grand Island, NE",20449.0,17.89063867016623,3274.0,2.8643919510061244,7740.0,6.771653543307087,2916.0,2.5511811023622046,1.0,8.748906386701663E-4,6518.0,5.702537182852144
"Sun Valley/Hailey/Ketchum, ID",20183.0,12.880025526483728,825.0,0.5264837268666241,5140.0,3.2801531589023614,6390.0,4.0778557753669435,28.0,0.017868538608806637,7800.0,4.977664326738991
"Ketchikan, AK",19614.0,8.230801510700797,470.0,0.19723038187159042,5214.0,2.1879983214435583,2917.0,1.224087284934956,122.0,0.051195971464540496,10891.0,4.570289550986152
"Yuma, AZ",19256.0,10.034392912975509,222.0,0.1156852527357999,10283.0,5.358520062532569,2597.0,1.3533090151120375,8.0,0.004168837936425221,6146.0,3.2027097446586765
"Staunton, VA",19230.0,27.161016949152543,121.0,0.1709039548022599,8847.0,12.495762711864407,4766.0,6.731638418079096,0.0,0.0,5496.0,7.762711864406779
"Idaho Falls, ID",19158.0,9.03679245283019,591.0,0.2787735849056604,6125.0,2.8891509433962264,3009.0,1.4193396226415094,21.0,0.00990566037735849,9412.0,4.439622641509434
"Hilo, HI",18700.0,3.056554429552141,511.0,0.08352402745995423,6917.0,1.1305982347172279,600.0,0.09807126511932004,0.0,0.0,10672.0,1.744360902255639
"Erie, PA",18264.0,15.296482412060302,1697.0,1.4212730318257956,5045.0,4.225293132328308,2651.0,2.2202680067001674,118.0,0.09882747068676717,8753.0,7.330820770519263
"Twin Falls, ID",18192.0,14.742301458670989,1724.0,1.3970826580226905,4589.0,3.718800648298217,3797.0,3.0769854132901133,0.0,0.0,8082.0,6.549432739059967
"Binghamton, NY",17891.0,18.67536534446764,4574.0,4.774530271398747,6827.0,7.1263048016701465,957.0,0.9989561586638831,1.0,0.0010438413361169101,5532.0,5.774530271398747
"Mammoth Lakes, CA",17695.0,31.153169014084508,1192.0,2.0985915492957745,4961.0,8.734154929577464,3492.0,6.147887323943662,1.0,0.0017605633802816902,8049.0,14.170774647887324
"Waco, TX",17632.0,9.795555555555556,2294.0,1.2744444444444445,4648.0,2.582222222222222,2578.0,1.4322222222222223,8.0,0.0044444444444444444,8104.0,4.502222222222223
"Lawton/Fort Sill, OK",17299.0,12.95805243445693,2378.0,1.7812734082397004,6058.0,4.537827715355805,2366.0,1.7722846441947566,332.0,0.24868913857677902,6165.0,4.617977528089888
"Dothan, AL",17276.0,12.564363636363636,3258.0,2.3694545454545453,4265.0,3.101818181818182,2759.0,2.0065454545454546,0.0,0.0,6994.0,5.086545454545455
"Ponce, PR",16801.0,20.364848484848483,0.0,0.0,2493.0,3.021818181818182,935.0,1.1333333333333333,0.0,0.0,13373.0,16.20969696969697
"Tyler, TX",16652.0,10.619897959183673,1369.0,0.8730867346938775,4131.0,2.6345663265306123,2880.0,1.836734693877551,79.0,0.05038265306122449,8193.0,5.2251275510204085
"Lewisburg, WV",16446.0,24.73082706766917,913.0,1.3729323308270676,2100.0,3.1578947368421053,3958.0,5.951879699248121,0.0,0.0,9475.0,14.24812030075188
"Devils Lake, ND",16385.0,26.216,2322.0,3.7152,7207.0,11.5312,2674.0,4.2784,0.0,0.0,4182.0,6.6912
"Columbus, MS",16159.0,13.647804054054054,2275.0,1.9214527027027026,5736.0,4.844594594594595,1456.0,1.2297297297297298,0.0,0.0,6692.0,5.652027027027027
"Beaumont/Port Arthur, TX",15937.0,15.921078921078921,3116.0,3.1128871128871127,3900.0,3.896103896103896,2847.0,2.844155844155844,25.0,0.024975024975024976,6049.0,6.042957042957043
"Dubuque, IA",15652.0,14.920877025738799,1694.0,1.6148713060057198,1986.0,1.8932316491897045,4118.0,3.9256434699714013,0.0,0.0,7854.0,7.487130600571973
"San Angelo, TX",15652.0,8.321105794790006,2766.0,1.470494417862839,4347.0,2.311004784688995,1614.0,0.8580542264752791,11.0,0.005847953216374269,6914.0,3.675704412546518
"Stockton, CA",15573.0,15.046376811594202,536.0,0.5178743961352656,4912.0,4.745893719806763,2169.0,2.0956521739130434,98.0,0.09468599033816426,7858.0,7.592270531400966
"Pueblo, CO",15559.0,16.6051227321238,701.0,0.7481323372465315,4606.0,4.915688367129135,3001.0,3.2027748132337246,0.0,0.0,7251.0,7.7385272145144075
"Williston, ND",15424.0,18.36190476190476,3126.0,3.7214285714285715,6423.0,7.646428571428571,1362.0,1.6214285714285714,99.0,0.11785714285714285,4414.0,5.254761904761905
"Roswell, NM",15023.0,10.846931407942238,2084.0,1.504693140794224,5996.0,4.329241877256318,1264.0,0.9126353790613718,0.0,0.0,5679.0,4.100361010830325
"Eau Claire, WI",14925.0,20.501373626373628,1161.0,1.5947802197802199,4694.0,6.447802197802198,5177.0,7.111263736263736,0.0,0.0,3893.0,5.347527472527473
"Ogdensburg, NY",14888.0,28.14366729678639,223.0,0.4215500945179584,6605.0,12.485822306238186,3444.0,6.510396975425331,20.0,0.03780718336483932,4596.0,8.688090737240076
