DEST_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
"Monroe, LA",35865.0,12.20313031643416,0.0,1050.0,3376.0,1.1486900306226608,0.0,867.0,12980.0,4.416468186457979,0.0,1050.0,5091.0,1.732221844164682,0.0,373.0,21.0,0.007145287512759442,0.0,21.0,14397.0,4.89860496767608,0.0,403.0
"Santa Rosa, CA",35843.0,13.124496521420726,0.0,991.0,1255.0,0.4595386305382644,0.0,690.0,20152.0,7.378982057854266,0.0,888.0,5033.0,1.842914683266203,0.0,202.0,0.0,0.0,0.0,0.0,9403.0,3.443061149761992,0.0,757.0
"Alexandria, LA",35116.0,10.732273838630807,0.0,908.0,2939.0,0.8982273838630807,0.0,721.0,12753.0,3.897616136919315,0.0,819.0,6511.0,1.989914425427873,0.0,895.0,0.0,0.0,0.0,0.0,12913.0,3.9465158924205377,0.0,263.0
"Killeen, TX",34743.0,10.230565371024735,0.0,958.0,2780.0,0.8186101295641932,0.0,329.0,12269.0,3.6127797408716136,0.0,861.0,7323.0,2.1563604240282683,0.0,924.0,0.0,0.0,0.0,0.0,12371.0,3.6428150765606597,0.0,512.0
"Grand Junction, CO",34088.0,8.41056007895386,0.0,793.0,3211.0,0.7922526523562793,0.0,663.0,13519.0,3.335553910683444,0.0,793.0,5639.0,1.391315075252899,0.0,199.0,7.0,0.0017271157167530224,0.0,7.0,11712.0,2.8897113249444857,0.0,241.0
"Mosinee, WI",33868.0,12.996162701458173,0.0,1005.0,8587.0,3.295088257866462,0.0,895.0,9010.0,3.457405986185725,0.0,725.0,5010.0,1.9224865694551037,0.0,139.0,18.0,0.006907137375287797,0.0,18.0,11243.0,4.314274750575595,0.0,614.0
"Newburgh/Poughkeepsie, NY",32903.0,18.769537934968625,0.0,434.0,3164.0,1.804905875641757,0.0,251.0,17686.0,10.088990302338848,0.0,372.0,2847.0,1.6240730176839704,0.0,236.0,92.0,0.052481460353679406,0.0,63.0,9114.0,5.199087278950371,0.0,357.0
"Jacksonville/Camp Lejeune, NC",32371.0,11.283025444405716,0.0,719.0,2826.0,0.9850121993726036,0.0,308.0,9775.0,3.4071104914604393,0.0,528.0,4154.0,1.4478912513070756,0.0,430.0,37.0,0.012896479609620077,0.0,37.0,15579.0,5.430115022655977,0.0,291.0
"Roanoke, VA",32286.0,11.179362880886426,0.0,1051.0,2379.0,0.8237534626038782,0.0,319.0,12709.0,4.400623268698061,0.0,1051.0,4457.0,1.5432825484764543,0.0,131.0,37.0,0.012811634349030472,0.0,37.0,12704.0,4.3988919667590025,0.0,232.0
"Plattsburgh, NY",32279.0,23.73455882352941,0.0,1023.0,2055.0,1.5110294117647058,0.0,851.0,16993.0,12.49485294117647,0.0,1013.0,3670.0,2.698529411764706,0.0,302.0,0.0,0.0,0.0,0.0,9561.0,7.0301470588235295,0.0,1000.0
"Laredo, TX",31487.0,11.775243081525804,0.0,947.0,1360.0,0.5086013462976814,0.0,639.0,14632.0,5.4719521316379955,0.0,947.0,5071.0,1.8964098728496634,0.0,641.0,0.0,0.0,0.0,0.0,10424.0,3.8982797307404637,0.0,797.0
"Lincoln, NE",31253.0,14.12884267631103,0.0,861.0,2903.0,1.312386980108499,0.0,848.0,11234.0,5.078661844484629,0.0,861.0,4770.0,2.1564195298372515,0.0,116.0,52.0,0.023508137432188065,0.0,37.0,12294.0,5.557866184448463,0.0,466.0
"Springfield, IL",30603.0,17.020578420467185,0.0,773.0,2375.0,1.3209121245828699,0.0,766.0,12555.0,6.982758620689655,0.0,676.0,4383.0,2.4377085650723025,0.0,137.0,40.0,0.02224694104560623,0.0,40.0,11250.0,6.256952169076752,0.0,214.0
"Bristol/Johnson City/Kingsport, TN",30282.0,10.24771573604061,0.0,552.0,4219.0,1.4277495769881556,0.0,449.0,11318.0,3.830118443316413,0.0,551.0,2534.0,0.8575296108291032,0.0,97.0,27.0,0.009137055837563452,0.0,27.0,12184.0,4.123181049069374,0.0,318.0
"Brownsville, TX",29277.0,10.811299852289512,0.0,751.0,2785.0,1.0284342688330872,0.0,507.0,10332.0,3.8153618906942395,0.0,734.0,4879.0,1.801698670605613,0.0,656.0,0.0,0.0,0.0,0.0,11281.0,4.165805022156573,0.0,288.0
"Fairbanks, AK",28943.0,6.126799322607959,0.0,411.0,1492.0,0.31583403895004236,0.0,369.0,11610.0,2.4576629974597797,0.0,361.0,5601.0,1.1856477561388654,0.0,125.0,32.0,0.006773920406435224,0.0,16.0,10208.0,2.160880609652837,0.0,265.0
"State College, PA",28891.0,16.050555555555555,0.0,704.0,4158.0,2.31,0.0,704.0,10485.0,5.825,0.0,561.0,3394.0,1.8855555555555557,0.0,217.0,0.0,0.0,0.0,0.0,10854.0,6.03,0.0,265.0
"New Bern/Morehead/Beaufort, NC",28352.0,12.018651971174226,0.0,781.0,2628.0,1.1140313692242476,0.0,567.0,8811.0,3.73505722763883,0.0,382.0,3860.0,1.636286562102586,0.0,123.0,0.0,0.0,0.0,0.0,13053.0,5.533276812208563,0.0,777.0
"Hays, KS",28083.0,22.4484412470024,0.0,1275.0,1127.0,0.9008792965627498,0.0,180.0,15121.0,12.087130295763389,0.0,1254.0,2654.0,2.1215027977617904,0.0,183.0,15.0,0.011990407673860911,0.0,15.0,9166.0,7.3269384492406076,0.0,396.0
"Juneau, AK",27994.0,6.200221483942414,0.0,539.0,1182.0,0.26179401993355483,0.0,230.0,11436.0,2.532890365448505,0.0,539.0,4599.0,1.0186046511627906,0.0,145.0,155.0,0.03433001107419712,0.0,30.0,10622.0,2.3526024363233664,0.0,289.0
"Minot, ND",27424.0,11.99650043744532,0.0,1237.0,3458.0,1.5126859142607174,0.0,725.0,12485.0,5.461504811898513,0.0,1233.0,3477.0,1.520997375328084,0.0,133.0,45.0,0.01968503937007874,0.0,45.0,7959.0,3.4816272965879267,0.0,251.0
"La Crosse, WI",27309.0,12.418826739427013,0.0,1017.0,3016.0,1.3715325147794453,0.0,787.0,10182.0,4.6302864938608455,0.0,803.0,4618.0,2.100045475216007,0.0,93.0,61.0,0.02773988176443838,0.0,61.0,9432.0,4.289222373806275,0.0,230.0
"Daytona Beach, FL",27272.0,8.2392749244713,0.0,415.0,1917.0,0.5791540785498489,0.0,225.0,9392.0,2.837462235649547,0.0,269.0,3786.0,1.1438066465256798,0.0,114.0,54.0,0.016314199395770394,0.0,42.0,12123.0,3.662537764350453,0.0,397.0
"Paducah, KY",26554.0,20.489197530864196,0.0,888.0,839.0,0.6473765432098766,0.0,206.0,13484.0,10.404320987654321,0.0,784.0,2074.0,1.6003086419753085,0.0,78.0,0.0,0.0,0.0,0.0,10157.0,7.8371913580246915,0.0,355.0
"Newport News/Williamsburg, VA",26411.0,10.51393312101911,0.0,522.0,1873.0,0.7456210191082803,0.0,176.0,7046.0,2.804936305732484,0.0,210.0,4199.0,1.671576433121019,0.0,158.0,7.0,0.002786624203821656,0.0,7.0,13286.0,5.289012738853503,0.0,345.0
"St. George, UT",26190.0,10.069204152249135,0.0,985.0,667.0,0.2564398308342945,0.0,121.0,11398.0,4.382160707420223,0.0,961.0,4117.0,1.5828527489427144,0.0,131.0,35.0,0.013456362937331795,0.0,35.0,9973.0,3.834294502114571,0.0,381.0
"Fort Smith, AR",26128.0,12.068360277136259,0.0,775.0,2757.0,1.2734411085450346,0.0,347.0,6874.0,3.175057736720554,0.0,215.0,2455.0,1.1339491916859123,0.0,119.0,0.0,0.0,0.0,0.0,14042.0,6.485912240184757,0.0,758.0
"Kalamazoo, MI",26017.0,11.609549308344489,0.0,726.0,2626.0,1.1717983043284248,0.0,373.0,8676.0,3.8714859437751006,0.0,713.0,4846.0,2.1624274877286926,0.0,726.0,0.0,0.0,0.0,0.0,9869.0,4.403837572512272,0.0,648.0
"College Station/Bryan, TX",25607.0,11.30052956751986,0.0,1026.0,1307.0,0.5767872903795234,0.0,165.0,11735.0,5.178729037952339,0.0,1000.0,4236.0,1.8693733451015004,0.0,972.0,0.0,0.0,0.0,0.0,8329.0,3.675639894086496,0.0,260.0
