ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Jackson/Vicksburg, MS -> Orlando, FL",2160.0,21.6,0.0,0.0,76.0,0.76,230.0,2.3,0.0,0.0,1854.0,18.54
"Birmingham, AL -> Las Vegas, NV",2157.0,12.614035087719298,47.0,0.27485380116959063,217.0,1.2690058479532165,513.0,3.0,0.0,0.0,1380.0,8.070175438596491
"Punta Gorda, FL -> Asheville, NC",2156.0,12.112359550561798,365.0,2.050561797752809,512.0,2.8764044943820224,337.0,1.8932584269662922,0.0,0.0,942.0,5.292134831460674
"Salt Lake City, UT -> Indianapolis, IN",2154.0,6.838095238095238,24.0,0.0761904761904762,1326.0,4.20952380952381,140.0,0.4444444444444444,0.0,0.0,664.0,2.107936507936508
"Sanford, FL -> Louisville, KY",2154.0,13.214723926380367,141.0,0.8650306748466258,956.0,5.865030674846626,575.0,3.5276073619631902,0.0,0.0,482.0,2.957055214723926
"Springfield, MO -> St. Petersburg, FL",2153.0,12.66470588235294,312.0,1.8352941176470587,463.0,2.723529411764706,397.0,2.335294117647059,0.0,0.0,981.0,5.770588235294118
"Boston, MA -> Charlotte Amalie, VI",2149.0,23.358695652173914,17.0,0.18478260869565216,1136.0,12.347826086956522,510.0,5.543478260869565,0.0,0.0,486.0,5.282608695652174
"Fort Wayne, IN -> St. Petersburg, FL",2149.0,10.964285714285714,192.0,0.9795918367346939,501.0,2.556122448979592,104.0,0.5306122448979592,0.0,0.0,1352.0,6.8979591836734695
"Phoenix, AZ -> Madison, WI",2149.0,11.192708333333334,0.0,0.0,521.0,2.7135416666666665,198.0,1.03125,16.0,0.08333333333333333,1414.0,7.364583333333333
"New York, NY -> Eagle, CO",2148.0,22.375,24.0,0.25,360.0,3.75,1453.0,15.135416666666666,0.0,0.0,311.0,3.2395833333333335
"Kansas City, MO -> Albuquerque, NM",2148.0,6.317647058823529,16.0,0.047058823529411764,719.0,2.114705882352941,296.0,0.8705882352941177,0.0,0.0,1117.0,3.2852941176470587
"Tampa, FL -> Louisville, KY",2143.0,5.2653562653562656,119.0,0.29238329238329236,501.0,1.230958230958231,145.0,0.35626535626535627,0.0,0.0,1378.0,3.385749385749386
