ROUTE BETWEEN STATES,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
Illinois -> Florida,434286.0,13.741488419187444,0.0,1556.0,30180.0,0.9549424123528667,0.0,936.0,142005.0,4.493260346791545,0.0,1409.0,94040.0,2.975572712314897,0.0,1288.0,1137.0,0.03597645867611695,0.0,339.0,166924.0,5.281736489052019,0.0,1514.0
New York -> Massachusetts,420892.0,20.628927118560995,0.0,1195.0,18813.0,0.9220702837817968,0.0,1051.0,108709.0,5.328089006518649,0.0,1129.0,111400.0,5.459981375287948,0.0,983.0,280.0,0.013723472038425721,0.0,82.0,181690.0,8.905062980934176,0.0,907.0
Louisiana -> Texas,420321.0,13.53647225532189,0.0,1445.0,27011.0,0.8698914688737883,0.0,984.0,91216.0,2.9376187562397345,0.0,1445.0,120687.0,3.8867347267398795,0.0,1322.0,772.0,0.024862323274612734,0.0,100.0,180635.0,5.817364980193875,0.0,1151.0
New York -> North Carolina,411866.0,14.449917552538329,0.0,1407.0,13965.0,0.489948426481423,0.0,881.0,105040.0,3.6852261165491353,0.0,1358.0,95778.0,3.3602778654878436,0.0,1075.0,135.0,0.00473634354278497,0.0,52.0,196948.0,6.909728800477143,0.0,1049.0
Massachusetts -> New York,406548.0,19.983680692095948,0.0,1289.0,15465.0,0.7601749901690916,0.0,894.0,106444.0,5.232206055839559,0.0,1186.0,123806.0,6.085627211954384,0.0,962.0,181.0,0.008896972080220212,0.0,58.0,160652.0,7.896775462052694,0.0,690.0
California -> Illinois,403598.0,13.425074011243057,0.0,1596.0,11764.0,0.3913115790173968,0.0,586.0,112820.0,3.7527858164521173,0.0,1596.0,121930.0,4.0558161194824205,0.0,558.0,562.0,0.018694075774207498,0.0,306.0,156522.0,5.206466420516914,0.0,1139.0
Florida -> Massachusetts,398241.0,20.335018382352942,0.0,1148.0,17006.0,0.8683619281045751,0.0,868.0,108151.0,5.522416258169935,0.0,1148.0,135886.0,6.938623366013072,0.0,970.0,582.0,0.02971813725490196,0.0,113.0,136616.0,6.975898692810458,0.0,536.0
Florida -> Virginia,396719.0,14.043647562745583,0.0,1313.0,24717.0,0.8749690254522284,0.0,779.0,142584.0,5.047399907961344,0.0,1313.0,65415.0,2.3156571914050055,0.0,413.0,882.0,0.031222344153775356,0.0,395.0,163121.0,5.774399093773231,0.0,1199.0
Texas -> New York,392186.0,20.48396531912671,0.0,1427.0,24855.0,1.2981823879661547,0.0,1070.0,120714.0,6.304920087746788,0.0,1136.0,143632.0,7.501932518541732,0.0,1427.0,156.0,0.00814791601378878,0.0,51.0,102829.0,5.370782408858247,0.0,627.0
California -> New York,390801.0,14.871793896034706,0.0,1203.0,3128.0,0.1190349341654616,0.0,459.0,122815.0,4.673681406499734,0.0,1203.0,139673.0,5.315206636730345,0.0,517.0,450.0,0.017124590912550423,0.0,84.0,124735.0,4.7467463277266155,0.0,811.0
Texas -> Louisiana,386097.0,12.414694533762058,0.0,954.0,30905.0,0.9937299035369775,0.0,717.0,134693.0,4.330964630225081,0.0,954.0,63242.0,2.0335048231511252,0.0,944.0,99.0,0.003183279742765273,0.0,25.0,157158.0,5.053311897106109,0.0,648.0
Michigan -> Illinois,383378.0,17.056457712328157,0.0,1700.0,24901.0,1.107843573430618,0.0,906.0,115228.0,5.126484851181208,0.0,1647.0,109993.0,4.8935801041064195,0.0,1173.0,239.0,0.010633091604751524,0.0,43.0,133017.0,5.917916092005161,0.0,737.0
Oregon -> California,382369.0,11.413659293752426,0.0,1563.0,8716.0,0.2601713381690099,0.0,1199.0,106016.0,3.1645622518730785,0.0,1551.0,120377.0,3.5932360228052893,0.0,1218.0,332.0,0.009910151935763112,0.0,48.0,146928.0,4.385779528969285,0.0,574.0
North Carolina -> North Carolina,379919.0,10.998436731030889,0.0,1199.0,25026.0,0.7244883189068697,0.0,567.0,102267.0,2.960570882667979,0.0,1194.0,52812.0,1.528877051790522,0.0,320.0,503.0,0.014561560953015083,0.0,61.0,199311.0,5.769938916712503,0.0,875.0
Illinois -> Michigan,379204.0,16.68444209785287,0.0,1200.0,37002.0,1.6280359028511087,0.0,1167.0,127585.0,5.613560366068286,0.0,1130.0,58298.0,2.5650299190425905,0.0,972.0,131.0,0.0057638155579021475,0.0,55.0,156188.0,6.8720520943329815,0.0,1035.0
Florida -> Pennsylvania,377679.0,13.402377572746628,0.0,1453.0,20629.0,0.7320440028388928,0.0,946.0,115392.0,4.094819020581973,0.0,1433.0,82075.0,2.912526614620298,0.0,580.0,800.0,0.028388928317955996,0.0,215.0,158783.0,5.634599006387509,0.0,1188.0
Florida -> Florida,367206.0,10.20839009201857,0.0,1229.0,18531.0,0.5151649940229629,0.0,332.0,116679.0,3.2436963109171275,0.0,1135.0,61568.0,1.711601011926274,0.0,770.0,544.0,0.01512329376442134,0.0,32.0,169884.0,4.722804481387785,0.0,1219.0
New York -> California,366331.0,13.970368392952482,0.0,1286.0,23242.0,0.8863549691099077,0.0,557.0,115293.0,4.396804210205171,0.0,1265.0,159968.0,6.100526275646404,0.0,921.0,843.0,0.03214857753031805,0.0,139.0,66985.0,2.554534360460682,0.0,846.0
Colorado -> Colorado,364200.0,19.853903183602267,0.0,1445.0,36948.0,2.0141735717400784,0.0,1335.0,124494.0,6.786633231574357,0.0,1445.0,71301.0,3.886883994766681,0.0,822.0,204.0,0.011120802442215439,0.0,86.0,131253.0,7.155091583078936,0.0,834.0
New York -> Texas,362015.0,18.908127023921445,0.0,1609.0,18345.0,0.9581635850830461,0.0,1092.0,119971.0,6.266113026219576,0.0,1556.0,98790.0,5.159824506424318,0.0,941.0,229.0,0.01196072286639507,0.0,48.0,124680.0,6.512065183328111,0.0,1229.0
Pennsylvania -> Florida,359541.0,12.760993788819876,0.0,1863.0,10199.0,0.36198757763975153,0.0,394.0,122656.0,4.353362910381544,0.0,1855.0,88662.0,3.146832298136646,0.0,862.0,618.0,0.021934338952972494,0.0,279.0,137406.0,4.876876663708962,0.0,854.0
