ROUTE BETWEEN STATES,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
Georgia -> South Carolina,99182.0,8.091205743188121,0.0,1125.0,7202.0,0.5875346712351117,0.0,866.0,43077.0,3.51419481155164,0.0,1090.0,9366.0,0.7640724424865394,0.0,328.0,0.0,0.0,0.0,0.0,39537.0,3.225403817914831,0.0,1046.0
New York -> Missouri,98385.0,15.688885345239994,0.0,891.0,3788.0,0.6040503906872907,0.0,601.0,21622.0,3.447934938606283,0.0,838.0,23569.0,3.758411736565141,0.0,700.0,198.0,0.03157391165683304,0.0,56.0,49208.0,7.8469143677244455,0.0,439.0
Missouri -> Colorado,98204.0,13.478451825418611,0.0,1323.0,4270.0,0.5860554488059292,0.0,1320.0,21275.0,2.9199835300576447,0.0,1144.0,31969.0,4.387729892945375,0.0,340.0,0.0,0.0,0.0,0.0,40690.0,5.584682953609662,0.0,644.0
Florida -> Indiana,97992.0,12.016186388718577,0.0,1117.0,8360.0,1.0251379521765789,0.0,543.0,30715.0,3.7664009809932555,0.0,1099.0,11241.0,1.37841814837523,0.0,232.0,391.0,0.04794604537093807,0.0,238.0,47285.0,5.798283261802575,0.0,480.0
Maine -> New York,97937.0,22.82913752913753,0.0,1122.0,7500.0,1.7482517482517483,0.0,1074.0,16243.0,3.7862470862470863,0.0,1056.0,39360.0,9.174825174825175,0.0,1091.0,24.0,0.005594405594405594,0.0,24.0,34810.0,8.114219114219114,0.0,341.0
Minnesota -> North Dakota,96624.0,11.090909090909092,0.0,1237.0,23166.0,2.659090909090909,0.0,1149.0,35542.0,4.079660238751148,0.0,1233.0,12080.0,1.386593204775023,0.0,562.0,109.0,0.012511478420569329,0.0,31.0,25727.0,2.953053259871442,0.0,437.0
Indiana -> Florida,96411.0,11.776108464639062,0.0,1123.0,5267.0,0.6433369976792476,0.0,859.0,35394.0,4.32319530963723,0.0,647.0,16232.0,1.9826554293391963,0.0,373.0,244.0,0.029803346769268352,0.0,195.0,39274.0,4.79711738121412,0.0,1107.0
South Carolina -> Georgia,96318.0,7.858203475564983,0.0,1173.0,6935.0,0.5657991351880558,0.0,1072.0,30402.0,2.4803785591906666,0.0,1090.0,23606.0,1.9259198825161132,0.0,498.0,46.0,0.0037529574936770826,0.0,46.0,35329.0,2.8823529411764706,0.0,1054.0
Washington -> Illinois,95611.0,14.110242030696575,0.0,998.0,8476.0,1.2508854781582055,0.0,847.0,25055.0,3.697609208972845,0.0,990.0,34990.0,5.163813459268004,0.0,451.0,65.0,0.009592680047225502,0.0,35.0,27025.0,3.988341204250295,0.0,433.0
South Carolina -> New York,94919.0,16.54505839288827,0.0,1316.0,3734.0,0.6508628202893498,0.0,703.0,26527.0,4.623845215269305,0.0,1056.0,36071.0,6.2874324559874495,0.0,1298.0,4.0,6.972285166463308E-4,0.0,4.0,28583.0,4.982220672825519,0.0,528.0
Maryland -> Massachusetts,94087.0,16.85240909905069,0.0,807.0,2857.0,0.5117320437041017,0.0,283.0,25486.0,4.564929249507434,0.0,724.0,32726.0,5.861723087945549,0.0,372.0,185.0,0.03313630664517284,0.0,73.0,32833.0,5.880888411248432,0.0,807.0
Nevada -> Washington,94053.0,10.520469798657718,0.0,577.0,3612.0,0.4040268456375839,0.0,261.0,28581.0,3.1969798657718123,0.0,577.0,24172.0,2.7038031319910516,0.0,440.0,32.0,0.0035794183445190158,0.0,24.0,37656.0,4.212080536912752,0.0,414.0
North Carolina -> Kentucky,93592.0,12.742273655547992,0.0,1015.0,6191.0,0.8428863172226004,0.0,460.0,23715.0,3.2287270251872022,0.0,751.0,12397.0,1.6878148400272295,0.0,658.0,192.0,0.026140231449965964,0.0,75.0,51097.0,6.956705241660994,0.0,982.0
South Carolina -> New Jersey,92194.0,30.527814569536424,0.0,1261.0,2022.0,0.6695364238410596,0.0,1169.0,15624.0,5.1735099337748345,0.0,1261.0,54288.0,17.97615894039735,0.0,1216.0,17.0,0.005629139072847682,0.0,9.0,20243.0,6.702980132450331,0.0,606.0
Kentucky -> North Carolina,91728.0,12.469820554649266,0.0,1842.0,3434.0,0.4668297988036977,0.0,362.0,29815.0,4.0531538879825995,0.0,1842.0,14349.0,1.950652528548124,0.0,343.0,16.0,0.002175095160413268,0.0,16.0,44114.0,5.997009244154432,0.0,478.0
Missouri -> Florida,91656.0,9.886312156185957,0.0,1256.0,4729.0,0.5100852119512458,0.0,529.0,34390.0,3.70941645992881,0.0,1211.0,16438.0,1.7730557652896128,0.0,418.0,110.0,0.011864955236759789,0.0,60.0,35989.0,3.8818897637795278,0.0,403.0
Minnesota -> Wisconsin,91186.0,10.358514142905827,0.0,1034.0,20222.0,2.297171418834488,0.0,1034.0,33060.0,3.755537884811996,0.0,874.0,12261.0,1.39282062933091,0.0,112.0,150.0,0.017039645575372034,0.0,61.0,25493.0,2.8959445643530612,0.0,422.0
Colorado -> New Jersey,90524.0,25.658730158730158,0.0,1402.0,5432.0,1.5396825396825398,0.0,1048.0,15943.0,4.5189909297052155,0.0,855.0,41609.0,11.793934240362812,0.0,371.0,54.0,0.015306122448979591,0.0,54.0,27486.0,7.790816326530612,0.0,1401.0
Massachusetts -> Georgia,90285.0,13.069629415170816,0.0,841.0,5771.0,0.8354082223508975,0.0,276.0,31423.0,4.548784018529242,0.0,841.0,18845.0,2.7279965257672263,0.0,184.0,30.0,0.004342790966994789,0.0,26.0,34216.0,4.953097857556457,0.0,443.0
Texas -> Indiana,90271.0,13.421201308355634,0.0,882.0,7467.0,1.1101694915254237,0.0,815.0,33731.0,5.015016354445436,0.0,882.0,10500.0,1.5611061552185548,0.0,228.0,51.0,0.007582515611061552,0.0,24.0,38522.0,5.727326791555159,0.0,447.0
Washington -> Nevada,89817.0,10.009695753928453,0.0,890.0,3767.0,0.41981500055722726,0.0,869.0,26715.0,2.977265128719492,0.0,544.0,25396.0,2.8302685835283627,0.0,402.0,293.0,0.03265351610386716,0.0,107.0,33646.0,3.749693525019503,0.0,440.0
Virginia -> Tennessee,89746.0,12.373638494416104,0.0,750.0,4080.0,0.5625258513718462,0.0,226.0,23684.0,3.265407417620295,0.0,750.0,12030.0,1.65862401764787,0.0,182.0,43.0,0.005928581276713084,0.0,27.0,49909.0,6.88115262649938,0.0,693.0
Nevada -> Arizona,89746.0,9.766677549243662,0.0,1472.0,344.0,0.03743606486015889,0.0,85.0,31961.0,3.4781804331265644,0.0,1243.0,10935.0,1.1900097943192949,0.0,167.0,48.0,0.005223636957231472,0.0,43.0,46458.0,5.055827619980412,0.0,1438.0
Colorado -> Missouri,89731.0,12.429837927690816,0.0,417.0,3330.0,0.4612827261393545,0.0,248.0,31449.0,4.3564205568638315,0.0,388.0,15410.0,2.1346446876298657,0.0,121.0,53.0,0.007341737082698435,0.0,41.0,39489.0,5.470148219975066,0.0,275.0
Wisconsin -> Michigan,89670.0,13.975997506234414,0.0,1341.0,14216.0,2.21571072319202,0.0,1299.0,26621.0,4.1491583541147135,0.0,1335.0,10516.0,1.6390274314214464,0.0,522.0,6.0,9.351620947630922E-4,0.0,6.0,38311.0,5.971165835411472,0.0,647.0
Oklahoma -> Illinois,87749.0,20.98254423720708,0.0,1498.0,5395.0,1.290052606408417,0.0,857.0,31097.0,7.435915829746532,0.0,1498.0,21052.0,5.0339550454328075,0.0,550.0,51.0,0.012195121951219513,0.0,51.0,30154.0,7.210425633668101,0.0,441.0
Virginia -> Pennsylvania,87640.0,14.092297797073485,0.0,954.0,3997.0,0.6427078308409713,0.0,601.0,27989.0,4.50056279144557,0.0,844.0,15100.0,2.428043093744975,0.0,305.0,80.0,0.012863804470172054,0.0,43.0,40474.0,6.5081202765717965,0.0,954.0
Pennsylvania -> Virginia,87313.0,13.472149359666718,0.0,936.0,3412.0,0.5264619657460269,0.0,265.0,17858.0,2.755438975466749,0.0,855.0,18580.0,2.8668415367998765,0.0,935.0,48.0,0.007406264465360284,0.0,33.0,47415.0,7.316000617188705,0.0,474.0
New York -> Kentucky,87220.0,16.092250922509226,0.0,1083.0,1765.0,0.32564575645756455,0.0,289.0,17611.0,3.249261992619926,0.0,883.0,20324.0,3.7498154981549816,0.0,800.0,11.0,0.002029520295202952,0.0,11.0,47509.0,8.76549815498155,0.0,817.0
California -> North Carolina,87204.0,11.462145110410095,0.0,1724.0,441.0,0.05796529968454259,0.0,172.0,34388.0,4.519978969505783,0.0,1690.0,13129.0,1.72568349106204,0.0,218.0,131.0,0.017218717139852787,0.0,60.0,39115.0,5.141298633017876,0.0,795.0
Minnesota -> New Jersey,87200.0,24.660633484162897,0.0,1098.0,4847.0,1.3707579185520362,0.0,1030.0,13066.0,3.695135746606335,0.0,918.0,51606.0,14.59445701357466,0.0,1046.0,69.0,0.019513574660633484,0.0,27.0,17612.0,4.980769230769231,0.0,363.0
Arizona -> Washington,87149.0,10.512545235223161,0.0,989.0,1800.0,0.21712907117008443,0.0,489.0,31096.0,3.75102533172497,0.0,989.0,17366.0,2.0948130277442703,0.0,344.0,150.0,0.018094089264173704,0.0,102.0,36737.0,4.431483715319662,0.0,646.0
Minnesota -> New York,86649.0,15.657571376942537,0.0,1065.0,9134.0,1.650524033249006,0.0,1062.0,18292.0,3.305384893386339,0.0,788.0,43583.0,7.875496928080954,0.0,761.0,20.0,0.003614022406938923,0.0,16.0,15620.0,2.822551499819299,0.0,462.0
Indiana -> Georgia,86260.0,10.367788461538462,0.0,1157.0,7976.0,0.9586538461538462,0.0,1105.0,33876.0,4.071634615384616,0.0,857.0,19143.0,2.300841346153846,0.0,727.0,37.0,0.004447115384615384,0.0,37.0,25228.0,3.0322115384615387,0.0,1157.0
Colorado -> Nebraska,86048.0,16.711594484365897,0.0,1003.0,4904.0,0.9524179452320839,0.0,752.0,37920.0,7.364536803262769,0.0,1003.0,10928.0,2.1223538551174985,0.0,613.0,73.0,0.014177510196154593,0.0,73.0,32223.0,6.25810837055739,0.0,326.0
Nebraska -> Colorado,85736.0,16.564142194744978,0.0,1331.0,5908.0,1.1414219474497682,0.0,1331.0,28778.0,5.559891808346213,0.0,1207.0,25112.0,4.8516228748068,0.0,879.0,13.0,0.002511591962905719,0.0,8.0,25925.0,5.008693972179289,0.0,341.0
Missouri -> California,85606.0,9.980879095254751,0.0,860.0,3473.0,0.4049201352454238,0.0,255.0,28493.0,3.322024017721814,0.0,860.0,25580.0,2.98239477672846,0.0,345.0,259.0,0.03019703859158214,0.0,84.0,27801.0,3.2413431269674713,0.0,752.0
New Jersey -> Tennessee,84565.0,21.999219562955254,0.0,977.0,3094.0,0.8048907388137357,0.0,697.0,27899.0,7.257804370447451,0.0,968.0,15771.0,4.102757544224766,0.0,612.0,11.0,0.0028616024973985433,0.0,11.0,37790.0,9.830905306971903,0.0,381.0
Maryland -> New York,84452.0,10.748631793305332,0.0,1123.0,4935.0,0.6281023291332569,0.0,363.0,32783.0,4.172457681048746,0.0,708.0,14256.0,1.8144329896907216,0.0,952.0,81.0,0.010309278350515464,0.0,49.0,32397.0,4.1233295150820926,0.0,522.0
Washington -> Arizona,84013.0,10.126928640308583,0.0,1615.0,3180.0,0.3833172613307618,0.0,262.0,35004.0,4.2193828351012534,0.0,1615.0,14506.0,1.748553519768563,0.0,187.0,131.0,0.015790742526518804,0.0,27.0,31192.0,3.7598842815814852,0.0,464.0
Washington -> Alaska,83881.0,6.963390337041342,0.0,411.0,4845.0,0.4022082018927445,0.0,337.0,30192.0,2.506392163373734,0.0,361.0,20943.0,1.7385854225469035,0.0,163.0,89.0,0.007388344678731529,0.0,36.0,27812.0,2.308816204549228,0.0,298.0
Kansas -> Texas,83594.0,15.437488457987072,0.0,1092.0,7440.0,1.373961218836565,0.0,443.0,24889.0,4.596306555863342,0.0,1092.0,18406.0,3.399076638965836,0.0,755.0,41.0,0.007571560480147738,0.0,25.0,32818.0,6.060572483841182,0.0,353.0
Florida -> Missouri,83481.0,9.009389164688107,0.0,737.0,4845.0,0.5228793438376862,0.0,684.0,26489.0,2.8587308439456076,0.0,734.0,11237.0,1.2127131448305632,0.0,113.0,734.0,0.07921433196632852,0.0,228.0,40176.0,4.335851500107921,0.0,383.0
Missouri -> New Jersey,83171.0,26.487579617834395,0.0,1250.0,2536.0,0.8076433121019109,0.0,819.0,17048.0,5.429299363057325,0.0,1217.0,45775.0,14.578025477707007,0.0,1250.0,0.0,0.0,0.0,0.0,17812.0,5.672611464968153,0.0,384.0
Maryland -> Texas,83020.0,10.755279181241093,0.0,1431.0,3864.0,0.5005829770695686,0.0,639.0,27832.0,3.60564840005182,0.0,1396.0,21242.0,2.751910869283586,0.0,302.0,609.0,0.0788962300816168,0.0,96.0,29473.0,3.8182407047545017,0.0,488.0
Colorado -> Virginia,82598.0,12.99528005034613,0.0,1303.0,8140.0,1.2806796727501573,0.0,1089.0,20543.0,3.2320641913152928,0.0,542.0,17313.0,2.723882945248584,0.0,160.0,11.0,0.0017306482064191316,0.0,11.0,36591.0,5.756922592825677,0.0,525.0
Nevada -> Florida,82391.0,16.94242237302077,0.0,1248.0,2511.0,0.5163479333744602,0.0,766.0,40580.0,8.344643224347111,0.0,1154.0,9269.0,1.9060250873946123,0.0,196.0,68.0,0.013983137980670367,0.0,30.0,29963.0,6.161422989923915,0.0,532.0
Colorado -> Minnesota,81996.0,13.564267990074441,0.0,1116.0,4513.0,0.7465674110835401,0.0,744.0,24169.0,3.9981803143093466,0.0,1116.0,18517.0,3.0631927212572374,0.0,356.0,0.0,0.0,0.0,0.0,34797.0,5.756327543424318,0.0,310.0
California -> Missouri,81894.0,9.51591912619103,0.0,495.0,649.0,0.07541250290495004,0.0,124.0,31289.0,3.635719265628631,0.0,495.0,9672.0,1.1238670694864048,0.0,226.0,78.0,0.00906344410876133,0.0,26.0,40206.0,4.671856844062282,0.0,392.0
Illinois -> Oklahoma,81793.0,19.428266033254157,0.0,946.0,4309.0,1.0235154394299288,0.0,918.0,23965.0,5.692399049881235,0.0,655.0,17643.0,4.190736342042755,0.0,875.0,0.0,0.0,0.0,0.0,35876.0,8.521615201900238,0.0,496.0
New York -> Maine,81774.0,19.06598274656097,0.0,791.0,4628.0,1.0790394031242714,0.0,774.0,22739.0,5.301702028444859,0.0,704.0,14628.0,3.4105852179995337,0.0,443.0,31.0,0.007227792026113313,0.0,31.0,39748.0,9.267428304966193,0.0,324.0
Arizona -> Nevada,81473.0,8.834634569507699,0.0,465.0,979.0,0.10615918455866406,0.0,175.0,31034.0,3.3652136196052918,0.0,452.0,10072.0,1.0921708956842333,0.0,218.0,169.0,0.018325742788982868,0.0,68.0,39219.0,4.252765126870527,0.0,323.0
South Carolina -> Virginia,80806.0,13.642748607124767,0.0,1241.0,2007.0,0.3388485564747594,0.0,173.0,22809.0,3.8509201418200236,0.0,1241.0,15111.0,2.551240925206821,0.0,391.0,61.0,0.010298835049805841,0.0,23.0,40818.0,6.891440148573358,0.0,561.0
Louisiana -> Florida,80212.0,11.67909143855562,0.0,876.0,3221.0,0.4689866045428072,0.0,571.0,22939.0,3.339982527664531,0.0,876.0,14123.0,2.0563482818870122,0.0,270.0,354.0,0.05154338963308096,0.0,50.0,39575.0,5.762230634828189,0.0,622.0
Michigan -> California,80150.0,12.441788264514127,0.0,1005.0,8678.0,1.3470971747904377,0.0,948.0,24745.0,3.8411983855945357,0.0,847.0,32774.0,5.087550450170754,0.0,328.0,23.0,0.0035703197764669356,0.0,22.0,13930.0,2.162371934181931,0.0,432.0
Kentucky -> Georgia,79808.0,9.46938775510204,0.0,1324.0,6147.0,0.7293545325106787,0.0,1322.0,31250.0,3.707878500237304,0.0,1068.0,17945.0,2.1292121499762695,0.0,357.0,0.0,0.0,0.0,0.0,24466.0,2.902942572377788,0.0,414.0
Massachusetts -> Maryland,79696.0,14.26965085049239,0.0,807.0,2543.0,0.45532676812891676,0.0,408.0,24610.0,4.406445837063563,0.0,525.0,14986.0,2.68325872873769,0.0,358.0,112.0,0.020053715308863025,0.0,27.0,37445.0,6.7045658012533575,0.0,800.0
Colorado -> Georgia,79114.0,11.409576002307471,0.0,1304.0,3914.0,0.5644649552927603,0.0,248.0,25519.0,3.6802711277761753,0.0,1230.0,18864.0,2.7205076434958175,0.0,1105.0,26.0,0.0037496394577444477,0.0,26.0,30791.0,4.440582636284972,0.0,433.0
New York -> Minnesota,78844.0,14.239479862741558,0.0,1154.0,3144.0,0.567816507133827,0.0,721.0,24458.0,4.417193426042983,0.0,1093.0,23917.0,4.319487086870146,0.0,972.0,3.0,5.41809644211667E-4,0.0,3.0,27322.0,4.934441033050389,0.0,463.0
Michigan -> Wisconsin,77346.0,12.062694946974423,0.0,1082.0,12165.0,1.8972239550842172,0.0,667.0,34970.0,5.453836556456644,0.0,765.0,8290.0,1.2928883343730506,0.0,220.0,167.0,0.02604491578290705,0.0,54.0,21754.0,3.3927011852776046,0.0,1082.0
Tennessee -> Virginia,77314.0,10.521774632553075,0.0,1418.0,2155.0,0.29327708219923787,0.0,255.0,20581.0,2.8008982035928143,0.0,1394.0,12360.0,1.6820903647250953,0.0,348.0,55.0,0.0074850299401197605,0.0,18.0,42163.0,5.7380239520958085,0.0,515.0
Georgia -> Indiana,76334.0,9.172554674357126,0.0,1075.0,8290.0,0.9961547704878635,0.0,1028.0,29010.0,3.4859408795962508,0.0,775.0,6930.0,0.832732516222062,0.0,235.0,0.0,0.0,0.0,0.0,32104.0,3.8577265080509493,0.0,396.0
Texas -> South Carolina,76281.0,13.97855964815833,0.0,719.0,4641.0,0.8504672897196262,0.0,291.0,32063.0,5.87557265897013,0.0,719.0,9295.0,1.7033168407549937,0.0,655.0,229.0,0.04196444933113432,0.0,110.0,30053.0,5.5072384093824445,0.0,493.0
Arkansas -> Illinois,76078.0,18.537524366471736,0.0,1486.0,4948.0,1.2056530214424952,0.0,538.0,19294.0,4.701267056530215,0.0,1304.0,27423.0,6.682017543859649,0.0,1486.0,8.0,0.001949317738791423,0.0,8.0,24405.0,5.946637426900585,0.0,360.0
Colorado -> Oregon,76009.0,12.973032940774877,0.0,977.0,6013.0,1.026284348864994,0.0,963.0,22950.0,3.9170506912442398,0.0,763.0,9804.0,1.6733230926779314,0.0,133.0,0.0,0.0,0.0,0.0,37242.0,6.356374807987711,0.0,291.0
Colorado -> North Carolina,75944.0,15.707135470527405,0.0,1005.0,3203.0,0.6624612202688728,0.0,171.0,28194.0,5.831230610134436,0.0,996.0,13686.0,2.830610134436401,0.0,120.0,15.0,0.0031023784901758012,0.0,12.0,30846.0,6.379731127197518,0.0,629.0
Kansas -> Illinois,75928.0,23.113546423135464,0.0,1107.0,2418.0,0.7360730593607306,0.0,302.0,24259.0,7.384779299847793,0.0,1079.0,22888.0,6.967427701674277,0.0,1096.0,0.0,0.0,0.0,0.0,26363.0,8.025266362252664,0.0,614.0
Georgia -> Colorado,75813.0,10.985799159542095,0.0,935.0,2793.0,0.4047239530502826,0.0,592.0,22366.0,3.240979568178525,0.0,935.0,23995.0,3.4770323141573685,0.0,803.0,118.0,0.01709897116359948,0.0,57.0,26541.0,3.8459643529923198,0.0,270.0
Maryland -> North Carolina,75806.0,10.509635380562873,0.0,793.0,3963.0,0.5494246499376126,0.0,539.0,20347.0,2.820878968529045,0.0,656.0,17042.0,2.3626784971579093,0.0,362.0,249.0,0.03452100374324137,0.0,107.0,34205.0,4.7421322611950645,0.0,509.0
Utah -> Illinois,75745.0,18.587730061349692,0.0,1355.0,4103.0,1.0068711656441718,0.0,973.0,22687.0,5.567361963190184,0.0,1355.0,30211.0,7.4137423312883435,0.0,1081.0,32.0,0.00785276073619632,0.0,18.0,18712.0,4.591901840490798,0.0,441.0
California -> Idaho,75680.0,12.091388400702987,0.0,1112.0,552.0,0.0881930020770091,0.0,152.0,32225.0,5.1485860361080045,0.0,1093.0,5523.0,0.8824093305639878,0.0,771.0,87.0,0.01389998402300687,0.0,36.0,37293.0,5.95830004793098,0.0,348.0
Minnesota -> Colorado,75646.0,12.578317259727303,0.0,1097.0,5188.0,0.8626538077818424,0.0,1097.0,18175.0,3.0221150648486863,0.0,659.0,27547.0,4.58047888260725,0.0,320.0,0.0,0.0,0.0,0.0,24736.0,4.113069504489524,0.0,425.0
Missouri -> Georgia,75560.0,7.926151264030211,0.0,964.0,5042.0,0.528899611874541,0.0,332.0,24373.0,2.556697786635896,0.0,964.0,15389.0,1.6142872128396097,0.0,163.0,0.0,0.0,0.0,0.0,30756.0,3.2262666526801635,0.0,297.0
Michigan -> Minnesota,75008.0,10.130740140464614,0.0,1463.0,12620.0,1.7044840626688276,0.0,1460.0,23702.0,3.2012425715829282,0.0,969.0,15663.0,2.11547811993517,0.0,338.0,585.0,0.07901134521880065,0.0,550.0,22438.0,3.030524041058887,0.0,512.0
Florida -> Minnesota,75005.0,10.97366495976591,0.0,1003.0,6735.0,0.9853694220921726,0.0,623.0,17711.0,2.5912216532553036,0.0,1003.0,18422.0,2.695245062179956,0.0,929.0,179.0,0.02618873445501097,0.0,97.0,31958.0,4.675640087783467,0.0,986.0
Maryland -> Illinois,74596.0,13.725114995400183,0.0,1029.0,6071.0,1.1170193192272309,0.0,906.0,17341.0,3.190616375344986,0.0,1029.0,24618.0,4.529530818767249,0.0,431.0,245.0,0.045078196872125116,0.0,99.0,26321.0,4.842870285188592,0.0,597.0
Nebraska -> Illinois,74306.0,14.549833561777952,0.0,1553.0,1480.0,0.2897983160368122,0.0,179.0,17732.0,3.472097121597807,0.0,1553.0,25282.0,4.950460152731545,0.0,1235.0,0.0,0.0,0.0,0.0,29812.0,5.837477971411788,0.0,1001.0
Florida -> Louisiana,74120.0,10.728035895209148,0.0,567.0,4616.0,0.6681140541322912,0.0,499.0,24683.0,3.5725864814010713,0.0,511.0,14774.0,2.138370241713707,0.0,517.0,359.0,0.051961210015921265,0.0,278.0,29688.0,4.2970039079461575,0.0,240.0
Indiana -> New Jersey,74075.0,36.418387413962634,0.0,1288.0,783.0,0.38495575221238937,0.0,191.0,8313.0,4.087020648967552,0.0,1158.0,52173.0,25.650442477876105,0.0,1283.0,34.0,0.01671583087512291,0.0,19.0,12772.0,6.279252704031465,0.0,287.0
North Carolina -> Maryland,74056.0,10.274139844617093,0.0,566.0,3388.0,0.4700332963374029,0.0,245.0,21627.0,3.000416204217536,0.0,463.0,13032.0,1.8079911209766926,0.0,566.0,364.0,0.050499445061043285,0.0,76.0,35645.0,4.945199778024417,0.0,411.0
Illinois -> Maryland,73308.0,13.4067300658376,0.0,698.0,5022.0,0.9184345281638625,0.0,547.0,22284.0,4.075347476225311,0.0,272.0,18124.0,3.3145574250182883,0.0,416.0,285.0,0.05212143379663497,0.0,163.0,27593.0,5.046269202633504,0.0,397.0
Idaho -> California,72758.0,11.510520487264673,0.0,1174.0,335.0,0.05299794336339187,0.0,125.0,23481.0,3.7147603227337447,0.0,1155.0,26876.0,4.2518588830881185,0.0,1068.0,55.0,0.008701154880556873,0.0,28.0,22011.0,3.482202183198861,0.0,470.0
Oregon -> Colorado,72467.0,12.372716407717261,0.0,1503.0,2125.0,0.36281372716407717,0.0,387.0,18544.0,3.166126003073246,0.0,1347.0,19805.0,3.3814239371691994,0.0,1493.0,78.0,0.013317397985316715,0.0,27.0,31915.0,5.4490353423254225,0.0,1480.0
South Carolina -> Texas,72280.0,13.250229147571035,0.0,1508.0,7908.0,1.44967919340055,0.0,1174.0,20048.0,3.675160403299725,0.0,1500.0,15910.0,2.916590284142988,0.0,425.0,11.0,0.0020164986251145736,0.0,11.0,28403.0,5.206782768102658,0.0,964.0
Virginia -> Missouri,71950.0,13.418500559492726,0.0,989.0,6411.0,1.1956359567325625,0.0,989.0,23894.0,4.456173069750093,0.0,950.0,12344.0,2.3021260723610593,0.0,156.0,82.0,0.015292801193584483,0.0,30.0,29219.0,5.449272659455427,0.0,396.0
New Jersey -> Colorado,71946.0,20.775628068149004,0.0,945.0,5424.0,1.5662720184810857,0.0,709.0,17213.0,4.970545769563962,0.0,684.0,17708.0,5.113485417268264,0.0,296.0,172.0,0.04966791799018192,0.0,115.0,31429.0,9.075656944845509,0.0,409.0
Minnesota -> Michigan,71936.0,9.710583153347732,0.0,1047.0,15599.0,2.1056965442764577,0.0,856.0,22004.0,2.9703023758099354,0.0,715.0,14811.0,1.9993250539956804,0.0,979.0,1087.0,0.14673326133909287,0.0,1047.0,18435.0,2.488525917926566,0.0,347.0
Illinois -> Nebraska,71751.0,13.992004680187208,0.0,911.0,6539.0,1.2751560062402496,0.0,635.0,21096.0,4.113884555382215,0.0,890.0,12515.0,2.440522620904836,0.0,119.0,0.0,0.0,0.0,0.0,31601.0,6.1624414976599065,0.0,644.0
Florida -> Nevada,71477.0,14.62893982808023,0.0,848.0,2867.0,0.5867785509619321,0.0,302.0,25913.0,5.303520261972984,0.0,595.0,17538.0,3.589439214081048,0.0,442.0,122.0,0.024969300040933277,0.0,30.0,25037.0,5.124232501023332,0.0,769.0
New Jersey -> Michigan,71372.0,18.37117117117117,0.0,972.0,3315.0,0.8532818532818532,0.0,498.0,18243.0,4.695752895752896,0.0,972.0,15849.0,4.079536679536679,0.0,371.0,71.0,0.018275418275418277,0.0,41.0,33894.0,8.724324324324325,0.0,627.0
Ohio -> Georgia,71291.0,7.061311410459588,0.0,1239.0,2701.0,0.26753169572107766,0.0,719.0,26796.0,2.654120443740095,0.0,1015.0,14891.0,1.4749405705229794,0.0,515.0,90.0,0.008914421553090333,0.0,30.0,26813.0,2.6558042789223455,0.0,1228.0
Pennsylvania -> Ohio,71275.0,15.01474615546661,0.0,825.0,3096.0,0.6522013903518011,0.0,347.0,15686.0,3.3044027807036023,0.0,825.0,15108.0,3.1826416684221615,0.0,229.0,108.0,0.0227512112913419,0.0,30.0,37277.0,7.852749104697704,0.0,447.0
Georgia -> Missouri,71161.0,7.458442511267163,0.0,837.0,4787.0,0.5017293784718583,0.0,709.0,30987.0,3.2477727701498793,0.0,837.0,9562.0,1.0022010271460016,0.0,218.0,151.0,0.015826433287915314,0.0,64.0,25674.0,2.690912902211508,0.0,331.0
Texas -> Kansas,70502.0,13.019759926131117,0.0,990.0,7373.0,1.3615881809787627,0.0,650.0,25487.0,4.706740535549399,0.0,987.0,10518.0,1.942382271468144,0.0,185.0,77.0,0.014219759926131116,0.0,61.0,27047.0,4.99482917820868,0.0,577.0
Minnesota -> Florida,70478.0,10.30832236360977,0.0,985.0,5512.0,0.8062015503875969,0.0,609.0,24668.0,3.6080152113500072,0.0,972.0,22700.0,3.3201696650577737,0.0,348.0,54.0,0.007898200965335674,0.0,42.0,17544.0,2.5660377358490565,0.0,465.0
California -> Minnesota,70347.0,7.289089213553,0.0,1117.0,1245.0,0.12900217594031707,0.0,371.0,26700.0,2.7665526888405347,0.0,1117.0,19108.0,1.9798984561185369,0.0,430.0,200.0,0.020723241114910373,0.0,129.0,23094.0,2.3929126515387007,0.0,509.0
Texas -> Maryland,69610.0,8.932375208520467,0.0,502.0,4318.0,0.5540870011548826,0.0,340.0,25052.0,3.2146798408828436,0.0,465.0,13007.0,1.6690619786988323,0.0,294.0,161.0,0.020659566277428463,0.0,51.0,27072.0,3.47388682150648,0.0,398.0
