ORIGIN,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
DRO,47347.0,14.604256631708822,0.0,537.0,3692.0,1.1388032078963604,0.0,275.0,9515.0,2.934916718075262,0.0,517.0,8937.0,2.756631708821715,0.0,308.0,56.0,0.01727328809376928,0.0,39.0,25147.0,7.756631708821715,0.0,500.0
FNT,46861.0,13.434919724770642,0.0,1105.0,1992.0,0.5711009174311926,0.0,217.0,13478.0,3.864105504587156,0.0,1097.0,10810.0,3.099197247706422,0.0,308.0,14.0,0.0040137614678899085,0.0,9.0,20567.0,5.896502293577981,0.0,727.0
AVP,46820.0,13.078212290502794,0.0,1422.0,5232.0,1.4614525139664805,0.0,665.0,16275.0,4.54608938547486,0.0,1389.0,8726.0,2.4374301675977654,0.0,504.0,10.0,0.002793296089385475,0.0,9.0,16577.0,4.630446927374302,0.0,419.0
COU,46489.0,19.623891937526384,0.0,1111.0,3016.0,1.2731110173068805,0.0,411.0,14189.0,5.9894470240607856,0.0,1069.0,13424.0,5.6665259603208105,0.0,414.0,166.0,0.07007176023638666,0.0,155.0,15694.0,6.6247361756015195,0.0,499.0
ROA,46228.0,16.01246969172151,0.0,1282.0,2357.0,0.8164184274333218,0.0,533.0,14939.0,5.174575684101143,0.0,1274.0,10487.0,3.6324904745410462,0.0,341.0,42.0,0.014547973675095255,0.0,28.0,18403.0,6.374437131970904,0.0,407.0
GRK,46047.0,13.559187279151944,0.0,1231.0,3782.0,1.113663133097762,0.0,382.0,11070.0,3.2597173144876326,0.0,1191.0,12897.0,3.797703180212014,0.0,1231.0,0.0,0.0,0.0,0.0,18298.0,5.388103651354535,0.0,945.0
MLU,45665.0,15.542886317222601,0.0,1445.0,3027.0,1.030292716133424,0.0,418.0,15140.0,5.1531654186521445,0.0,1445.0,8302.0,2.82573179033356,0.0,807.0,336.0,0.11436351259360109,0.0,97.0,18860.0,6.419332879509871,0.0,961.0
BMI,45167.0,14.674139051332034,0.0,1495.0,3706.0,1.2040285899935024,0.0,401.0,13441.0,4.366796621182586,0.0,1487.0,9125.0,2.964587394411956,0.0,972.0,255.0,0.08284600389863547,0.0,86.0,18640.0,6.055880441845354,0.0,541.0
SWF,45097.0,25.72561323445522,0.0,1375.0,2189.0,1.248716486023959,0.0,418.0,11558.0,6.5932686822589845,0.0,1346.0,3573.0,2.038220193953223,0.0,91.0,0.0,0.0,0.0,0.0,27777.0,15.845407872219052,0.0,434.0
FAY,45015.0,12.156359708344585,0.0,1170.0,2811.0,0.7591142317040238,0.0,216.0,12424.0,3.3551174723197406,0.0,1170.0,4581.0,1.2371050499594922,0.0,134.0,16.0,0.004320820955981636,0.0,12.0,25183.0,6.800702133405347,0.0,363.0
GJT,44580.0,10.95600884738265,0.0,1445.0,5240.0,1.2877856967313837,0.0,1236.0,16655.0,4.093143278446793,0.0,1445.0,7460.0,1.8333742934381911,0.0,428.0,17.0,0.004177930695502581,0.0,17.0,15208.0,3.737527648070779,0.0,446.0
AEX,44536.0,13.615408132069703,0.0,1322.0,4071.0,1.2445735249159278,0.0,263.0,9557.0,2.921736472026903,0.0,631.0,14585.0,4.45888107612351,0.0,1322.0,16.0,0.004891470498318557,0.0,15.0,16307.0,4.985325588505044,0.0,404.0
STT,44216.0,11.781508126831868,0.0,1408.0,1074.0,0.28617106314948043,0.0,98.0,8057.0,2.1468158806288304,0.0,1408.0,6230.0,1.6600053290700774,0.0,129.0,71.0,0.01891819877431388,0.0,63.0,28784.0,7.669597655209166,0.0,615.0
