ROUTE BETWEEN CITIES,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
"Grand Rapids, MI -> Phoenix, AZ",6927.0,19.03021978021978,0.0,1792.0,501.0,1.3763736263736264,0.0,167.0,3816.0,10.483516483516484,0.0,1792.0,1228.0,3.3736263736263736,0.0,86.0,24.0,0.06593406593406594,0.0,24.0,1358.0,3.730769230769231,0.0,249.0
"Fort Myers, FL -> Indianapolis, IN",6914.0,7.919816723940436,0.0,421.0,149.0,0.1706758304696449,0.0,73.0,1375.0,1.575028636884307,0.0,142.0,810.0,0.9278350515463918,0.0,90.0,0.0,0.0,0.0,0.0,4580.0,5.246277205040092,0.0,421.0
"Atlantic City, NJ -> Fort Lauderdale, FL",6909.0,8.582608695652175,0.0,610.0,6.0,0.007453416149068323,0.0,4.0,2118.0,2.631055900621118,0.0,431.0,1861.0,2.311801242236025,0.0,142.0,0.0,0.0,0.0,0.0,2924.0,3.6322981366459626,0.0,610.0
"Fort Myers, FL -> Atlantic City, NJ",6908.0,13.387596899224807,0.0,820.0,510.0,0.9883720930232558,0.0,345.0,1134.0,2.197674418604651,0.0,814.0,1067.0,2.067829457364341,0.0,216.0,0.0,0.0,0.0,0.0,4197.0,8.133720930232558,0.0,368.0
"Rapid City, SD -> Phoenix, AZ",6899.0,22.996666666666666,0.0,1285.0,220.0,0.7333333333333333,0.0,70.0,2491.0,8.303333333333333,0.0,1266.0,581.0,1.9366666666666668,0.0,100.0,30.0,0.1,0.0,30.0,3577.0,11.923333333333334,0.0,255.0
"Phoenix, AZ -> Lubbock, TX",6895.0,19.206128133704734,0.0,862.0,93.0,0.2590529247910863,0.0,93.0,2556.0,7.119777158774373,0.0,648.0,283.0,0.7883008356545961,0.0,49.0,1.0,0.002785515320334262,0.0,1.0,3962.0,11.036211699164346,0.0,252.0
"Philadelphia, PA -> Burlington, VT",6880.0,12.647058823529411,0.0,546.0,121.0,0.22242647058823528,0.0,94.0,862.0,1.5845588235294117,0.0,223.0,1846.0,3.3933823529411766,0.0,121.0,0.0,0.0,0.0,0.0,4051.0,7.446691176470588,0.0,323.0
"Shreveport, LA -> Charlotte, NC",6876.0,9.484137931034482,0.0,432.0,103.0,0.14206896551724138,0.0,63.0,2215.0,3.0551724137931036,0.0,337.0,888.0,1.2248275862068965,0.0,133.0,16.0,0.022068965517241378,0.0,15.0,3654.0,5.04,0.0,416.0
"Tampa, FL -> Milwaukee, WI",6869.0,11.150974025974026,0.0,272.0,436.0,0.7077922077922078,0.0,110.0,1430.0,2.3214285714285716,0.0,167.0,841.0,1.3652597402597402,0.0,49.0,0.0,0.0,0.0,0.0,4162.0,6.7564935064935066,0.0,262.0
"Key West, FL -> Dallas/Fort Worth, TX",6866.0,18.914600550964188,0.0,1000.0,749.0,2.0633608815426996,0.0,243.0,1010.0,2.7823691460055096,0.0,102.0,2756.0,7.59228650137741,0.0,1000.0,36.0,0.09917355371900827,0.0,36.0,2315.0,6.377410468319559,0.0,191.0
