ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Dallas/Fort Worth, TX->Gulfport/Biloxi, MS",602.0,9.709677419354838,0.0,0.0,267.0,4.306451612903226,33.0,0.532258064516129,0.0,0.0,302.0,4.870967741935484
"Dallas/Fort Worth, TX->Fort Myers, FL",601.0,5.136752136752137,27.0,0.23076923076923078,235.0,2.0085470085470085,191.0,1.6324786324786325,0.0,0.0,148.0,1.264957264957265
"Atlanta, GA->Charleston/Dunbar, WV",601.0,5.136752136752137,1.0,0.008547008547008548,185.0,1.5811965811965811,124.0,1.0598290598290598,0.0,0.0,291.0,2.4871794871794872
"Hibbing, MN->Minneapolis, MN",600.0,11.11111111111111,195.0,3.611111111111111,161.0,2.9814814814814814,58.0,1.0740740740740742,0.0,0.0,186.0,3.4444444444444446
"San Francisco, CA->Mammoth Lakes, CA",599.0,19.322580645161292,116.0,3.7419354838709675,4.0,0.12903225806451613,411.0,13.258064516129032,0.0,0.0,68.0,2.193548387096774
"Norfolk, VA->Miami, FL",598.0,7.035294117647059,22.0,0.25882352941176473,0.0,0.0,163.0,1.9176470588235295,0.0,0.0,413.0,4.858823529411764
"Savannah, GA->Boston, MA",597.0,18.65625,0.0,0.0,41.0,1.28125,296.0,9.25,0.0,0.0,260.0,8.125
"Portland, OR->Dallas, TX",596.0,8.764705882352942,0.0,0.0,491.0,7.220588235294118,26.0,0.38235294117647056,0.0,0.0,79.0,1.161764705882353
"Dallas, TX->Oklahoma City, OK",595.0,6.685393258426966,0.0,0.0,205.0,2.303370786516854,80.0,0.898876404494382,0.0,0.0,310.0,3.4831460674157304
"Cincinnati, OH->Fort Myers, FL",594.0,9.428571428571429,96.0,1.5238095238095237,46.0,0.7301587301587301,254.0,4.031746031746032,0.0,0.0,198.0,3.142857142857143
