ORIGIN_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Chicago, IL",656559.0,20.12379697174033,89620.0,2.7468889842456936,175109.0,5.367161159811194,156671.0,4.802029056580642,201.0,0.006160730705572243,234958.0,7.201557040397229
"New York, NY",454487.0,18.659399761875438,21608.0,0.8871371679599294,104226.0,4.279098411134376,109227.0,4.484419263456091,984.0,0.040399063924128585,218442.0,8.968345855400912
"San Francisco, CA",269607.0,19.695156695156694,6883.0,0.5028124771714515,68560.0,5.008400905836803,74469.0,5.440061363138287,128.0,0.009350573453137556,119567.0,8.734531375557017
"Washington, DC",255550.0,14.965448582806278,25375.0,1.4860037479503396,66685.0,3.905188568751464,75412.0,4.416256734598266,266.0,0.015577418599203561,87812.0,5.142422112907004
"Dallas/Fort Worth, TX",233694.0,10.132853488271257,7745.0,0.3358192776308373,99142.0,4.298746910636083,47623.0,2.0649091618609896,68.0,0.002948445562155834,79116.0,3.430429692581191
"Boston, MA",225779.0,19.753193350831147,18125.0,1.5857392825896763,66160.0,5.78827646544182,53401.0,4.672003499562555,184.0,0.016097987751531057,87909.0,7.691076115485564
"Atlanta, GA",214811.0,6.894912534103675,12863.0,0.41287112822981864,76778.0,2.4643877387257263,65846.0,2.1134970309741616,249.0,0.00799229658160809,59075.0,1.8961643395923609
"Newark, NJ",205209.0,19.50285116897928,4065.0,0.386333396692644,53478.0,5.082493822467211,45736.0,4.346702147880631,110.0,0.01045428625736552,101820.0,9.67686751568143
"Detroit, MI",203653.0,16.73126848504765,49294.0,4.049786395004929,57270.0,4.705060795267828,51364.0,4.219848833388104,25.0,0.0020538941833716726,45700.0,3.7545185672034176
"Denver, CO",198511.0,10.726265737288594,7237.0,0.39104122764359434,64379.0,3.478629707678176,56016.0,3.0267466364078457,11.0,5.943696979521262E-4,70868.0,3.8292537958610255
"Los Angeles, CA",193056.0,10.732488325550367,3400.0,0.18901489882143652,63751.0,3.544084945519235,57646.0,3.2046920169001556,48.0,0.00266844563042028,68211.0,3.7920280186791193
"Houston, TX",166872.0,8.515615431720759,6244.0,0.31863645641967747,65601.0,3.347672994488671,40456.0,2.0645029597877116,144.0,0.007348438456827924,54427.0,2.777454582567871
"Charlotte, NC",155158.0,8.1234554973822,1839.0,0.096282722513089,52808.0,2.7648167539267017,38276.0,2.003979057591623,376.0,0.01968586387434555,61859.0,3.2386910994764397
"Minneapolis, MN",137715.0,11.306650246305418,30019.0,2.464614121510673,43291.0,3.554269293924466,36848.0,3.025287356321839,59.0,0.004844006568144499,27498.0,2.2576354679802955
"Orlando, FL",124145.0,10.306766293067662,2588.0,0.21486093814860938,39486.0,3.278206724782067,35541.0,2.9506849315068493,297.0,0.024657534246575342,46233.0,3.8383561643835615
"Las Vegas, NV",123072.0,9.317283670224846,1404.0,0.10629116511469452,37955.0,2.8734196381255206,36552.0,2.767204178968885,104.0,0.00787341963812552,47057.0,3.562495268377621
"Phoenix, AZ",119946.0,7.883404534998357,2918.0,0.19178442326651332,46656.0,3.06644758462044,30829.0,2.0262241209332896,198.0,0.013013473545842919,39345.0,2.585934932632271
"Fort Lauderdale, FL",109618.0,12.605565777368906,1483.0,0.1705381784728611,31554.0,3.6285648574057037,37598.0,4.323597056117755,785.0,0.09027138914443422,38198.0,4.392594296228151
"Salt Lake City, UT",99048.0,10.605846450369418,12082.0,1.293714530463647,33658.0,3.604026126994325,26232.0,2.8088660456151624,65.0,0.0069600599635935324,27011.0,2.892279687332691
"Miami, FL",96563.0,12.22161751677003,1438.0,0.18200227819263384,35147.0,4.4484242500949245,32970.0,4.172889507657259,86.0,0.010884698139476016,26922.0,3.407416782685736
"Philadelphia, PA",81836.0,9.00583250797843,3006.0,0.3308022449653351,22651.0,2.4926818531968746,30011.0,3.3026301309563113,198.0,0.021789369428854406,25970.0,2.857928909431055
"Seattle, WA",74950.0,7.3264907135874875,1945.0,0.19012707722385142,21532.0,2.104789833822092,33274.0,3.2525904203323557,17.0,0.0016617790811339198,18182.0,1.7773216031280548
"Raleigh/Durham, NC",70298.0,14.74061648144265,2284.0,0.4789263996644999,15898.0,3.3336129167540367,26146.0,5.482491088278465,13.0,0.002725938351855735,25957.0,5.442860138393793
"Baltimore, MD",69866.0,8.989449305198146,4374.0,0.5627895007720021,26320.0,3.386515697375193,19488.0,2.5074626865671643,170.0,0.021873391662377766,19514.0,2.51080802882141
"Nashville, TN",69019.0,11.117751288659793,2091.0,0.33682345360824745,19581.0,3.1541559278350517,22076.0,3.556056701030928,24.0,0.003865979381443299,25247.0,4.066849226804123
"San Diego, CA",65158.0,8.695849459495529,1104.0,0.14733751501401307,14833.0,1.979580942212732,21984.0,2.933938342452956,119.0,0.015881489390097425,27118.0,3.6191111704257306
"Tampa, FL",63669.0,9.608964684575913,623.0,0.09402354361605796,18020.0,2.719589495925143,18892.0,2.8511922728644734,93.0,0.014035617265318443,26041.0,3.93012375490492
"St. Louis, MO",63131.0,11.80239297064872,3311.0,0.6189942045242102,19204.0,3.590203776406805,19534.0,3.651897550944102,53.0,0.00990839409235371,21029.0,3.9313890446812487
"Cleveland, OH",61636.0,15.796002050230651,4779.0,1.2247565351101999,16128.0,4.133264992311635,21109.0,5.409789851358278,4.0,0.0010251153254741158,19616.0,5.027165556125064
"Cincinnati, OH",57751.0,15.562112638102937,3317.0,0.8938291565615737,15648.0,4.216653193209377,23367.0,6.296685529506871,131.0,0.03530045809754783,15288.0,4.1196443007275665
"Pittsburgh, PA",55856.0,14.069521410579345,1579.0,0.3977329974811083,10705.0,2.6964735516372795,24290.0,6.1183879093199,402.0,0.10125944584382872,18880.0,4.755667506297229
"Fort Myers, FL",54574.0,14.27517656290871,1114.0,0.2913941930421135,14179.0,3.7088673816374573,16190.0,4.2348940622547735,0.0,0.0,23091.0,6.040020925974366
"Columbus, OH",51930.0,13.892455858747994,1753.0,0.4689673622257892,12712.0,3.400749063670412,21575.0,5.771803103263777,16.0,0.004280363830925628,15874.0,4.246655965757089
"Indianapolis, IN",47882.0,12.382208430307733,1223.0,0.31626583915179723,16335.0,4.224204809930178,16443.0,4.252133436772692,0.0,0.0,13881.0,3.5896043444530643
"Kansas City, MO",46198.0,10.36294302377748,1741.0,0.3905338716913414,10692.0,2.398384925975774,16677.0,3.7409152086137283,28.0,0.006280843427545985,17060.0,3.8268281740690893
"West Palm Beach/Palm Beach, FL",41647.0,16.915922014622257,225.0,0.09138911454102355,6793.0,2.7591389114541025,16138.0,6.554833468724614,0.0,0.0,18491.0,7.510560519902518
"Austin, TX",40684.0,8.223974125732767,679.0,0.13725490196078433,12886.0,2.604810996563574,12265.0,2.4792803719425915,33.0,0.0066707095209217705,14821.0,2.995957145744896
"Portland, OR",39899.0,8.369834277323264,2594.0,0.5441577512062094,12765.0,2.6777847702957835,12762.0,2.6771554436752676,1.0,2.0977554017201594E-4,11777.0,2.4705265366058318
"Milwaukee, WI",39553.0,15.852905811623247,5395.0,2.162324649298597,10090.0,4.044088176352705,10897.0,4.36753507014028,6.0,0.002404809619238477,13165.0,5.2765531062124245
"New Orleans, LA",38821.0,8.444855340439418,395.0,0.08592560365455731,6823.0,1.484228844898847,15208.0,3.308244507287361,49.0,0.010659125516641287,16346.0,3.55579725908201
