ROUTE_PATH,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,_c45,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,ORIGIN_UTC_LOCAL_TIME_VARIATION,DEST_LATITUDE,DEST_LONGITUDE,DEST_UTC_LOCAL_TIME_VARIATION,WHEELS_OFF_UTC_DATETIME,WHEELS_ON_UTC_DATETIME,ENTRY_LONGITUDE,ENTRY_LATITUDE,EXIT_LONGITUDE,EXIT_LATITUDE,ENTRY_TIME,EXIT_TIME,IS_IN_AREA
1169706->1072102,2019,1,3,8,5,2019-03-08T00:00:00.000Z,NK,20416,N660NK,610,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,10721,1072102,BOS,"Boston, MA",MA,Massachusetts,735,732,-3.0,13.0,745,1031,5.0,1048,1036,-12.0,0.0,"",0.0,193.0,184.0,166.0,1237.0,5,"","","","","","",26.07166667,-80.14972222,-500,42.36305556,-71.00638889,-500,2019-03-08T12:45:00.000Z,2019-03-08T15:31:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1323202->1014005,2019,1,3,8,5,2019-03-08T00:00:00.000Z,WN,19393,N268WN,1878,13232,1323202,MDW,"Chicago, IL",IL,Illinois,10140,1014005,ABQ,"Albuquerque, NM",NM,New Mexico,840,839,-1.0,23.0,902,1051,6.0,1045,1057,12.0,0.0,"",0.0,185.0,198.0,169.0,1121.0,5,"","","","","","",41.78583333,-87.7525,-600,35.03888889,-106.60833333,-700,2019-03-08T15:02:00.000Z,2019-03-08T17:51:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1393102->1127805,2019,1,3,8,5,2019-03-08T00:00:00.000Z,OH,20397,N220PS,5101,13931,1393102,ORF,"Norfolk, VA",VA,Virginia,11278,1127805,DCA,"Washington, DC",VA,Virginia,1056,1048,-8.0,11.0,1059,1140,16.0,1200,1156,-4.0,0.0,"",0.0,64.0,68.0,41.0,142.0,1,"","","","","","",36.89472222,-76.20111111,-500,38.85138889,-77.03777778,-500,2019-03-08T15:59:00.000Z,2019-03-08T16:40:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1449202->1320402,2019,1,3,8,5,2019-03-08T00:00:00.000Z,DL,19790,N947AT,1062,14492,1449202,RDU,"Raleigh/Durham, NC",NC,North Carolina,13204,1320402,MCO,"Orlando, FL",FL,Florida,902,902,0.0,13.0,915,1034,7.0,1051,1041,-10.0,0.0,"",0.0,109.0,99.0,79.0,534.0,3,"","","","","","",35.87777778,-78.7875,-500,28.42944444,-81.30888889,-500,2019-03-08T14:15:00.000Z,2019-03-08T15:34:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1449202->1348702,2019,1,3,8,5,2019-03-08T00:00:00.000Z,DL,19790,N922AT,1332,14492,1449202,RDU,"Raleigh/Durham, NC",NC,North Carolina,13487,1348702,MSP,"Minneapolis, MN",MN,Minnesota,852,854,2.0,9.0,903,1028,7.0,1045,1035,-10.0,0.0,"",0.0,173.0,161.0,145.0,980.0,4,"","","","","","",35.87777778,-78.7875,-500,44.88194444,-93.22166667,-600,2019-03-08T14:03:00.000Z,2019-03-08T16:28:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1473003->1143302,2019,1,3,8,5,2019-03-08T00:00:00.000Z,OO,20304,N494CA,4734,14730,1473003,SDF,"Louisville, KY",KY,Kentucky,11433,1143302,DTW,"Detroit, MI",MI,Michigan,1026,1017,-9.0,25.0,1042,1139,11.0,1150,1150,0.0,0.0,"",0.0,84.0,93.0,57.0,306.0,2,"","","","","","",38.17416667,-85.73638889,-500,42.2125,-83.35333333,-500,2019-03-08T15:42:00.000Z,2019-03-08T16:39:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1530402->1501606,2019,1,3,8,5,2019-03-08T00:00:00.000Z,WN,19393,N7811F,251,15304,1530402,TPA,"Tampa, FL",FL,Florida,15016,1501606,STL,"St. Louis, MO",MO,Missouri,1010,1005,-5.0,12.0,1017,1140,3.0,1140,1143,3.0,0.0,"",0.0,150.0,158.0,143.0,869.0,4,"","","","","","",27.97555556,-82.53333333,-500,38.74861111,-90.37,-600,2019-03-08T15:17:00.000Z,2019-03-08T17:40:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1042302->1129806,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N9615W,1176,10423,1042302,AUS,"Austin, TX",TX,Texas,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,952,946,-6.0,13.0,959,1040,11.0,1100,1051,-9.0,0.0,"",0.0,68.0,65.0,41.0,190.0,1,"","","","","","",30.19444444,-97.67,-600,32.89722222,-97.03777778,-600,2019-03-08T15:59:00.000Z,2019-03-08T16:40:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1052906->1169706,2019,1,3,8,5,2019-03-08T00:00:00.000Z,B6,20409,N521JB,959,10529,1052906,BDL,"Hartford, CT",CT,Connecticut,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,807,825,18.0,23.0,848,1127,4.0,1127,1131,4.0,0.0,"",0.0,200.0,186.0,159.0,1173.0,5,"","","","","","",41.93916667,-72.68333333,-500,26.07166667,-80.14972222,-500,2019-03-08T13:48:00.000Z,2019-03-08T16:27:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1069302->1530402,2019,1,3,8,5,2019-03-08T00:00:00.000Z,WN,19393,N8325D,5984,10693,1069302,BNA,"Nashville, TN",TN,Tennessee,15304,1530402,TPA,"Tampa, FL",FL,Florida,925,921,-4.0,7.0,928,1144,4.0,1210,1148,-22.0,0.0,"",0.0,105.0,87.0,76.0,612.0,3,"","","","","","",36.12444444,-86.67805556,-600,27.97555556,-82.53333333,-500,2019-03-08T15:28:00.000Z,2019-03-08T16:44:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
