ROUTE_PATH,ENTRY_LONGITUDE,ENTRY_LATITUDE,EXIT_LONGITUDE,EXIT_LATITUDE,ENTRY_TIME,EXIT_TIME,IS_IN_AREA
1127805->1079206,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1348702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1348702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1160302->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1161802->1349505,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1161802->1349505,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1219102->1014005,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1410702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1410702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1299206->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1299206->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1348702->1082106,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1448902->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1477104->1042302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1477104->1042302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1069302->1468305,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1125903->1467903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1410005,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1163807->1474703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1226603->1226402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1288903->1501606,-102.98445678096434,38.07067639805977,-102.98445678096434,38.07067639805977,0.0,0.0,INSIDE
1289208->1347605,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1330303->1105703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1393006->1025702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1410005->1430705,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1410702->1483106,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1477104->1072102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1477104->1072102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1067602->1169706,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1069302->1106606,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1071302->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1319801->1161802,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1320402->1079206,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1349505->1105703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1387102->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1467903->1143302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1476106->1233904,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1477104->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1477104->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1489302->1467903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1489302->1467903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1489302->1467903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1104205->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1114008,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1320402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1320402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1320402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1158702->1143302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1226402->1217305,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1226603->1530402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1385103->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1486903->1129806,-104.12119434211641,37.0790889231064,-104.12119434211641,37.0790889231064,0.0,0.0,INSIDE
1486903->1129806,-104.12119434211641,37.0790889231064,-104.12119434211641,37.0790889231064,0.0,0.0,INSIDE
1039707->1481402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1127805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1127805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1127805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1245102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1142306->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1295304->1226402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1295304->1530402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1295304->1530402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1323202->1320402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1330303->1348702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1463502->1323202,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1530402->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1059904->1105703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1458804,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1217305->1240203,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1226603->1419306,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1483106,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1289208->1161802,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1289208->1161802,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1289208->1161802,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1289208->1474703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1289208->1474703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1289208->1474703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1312102->1226402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1323202->1219102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1349505->1226402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1393006->1221702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1412202->1072102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1489302->1082106,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1072102->1105703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1072102->1105703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1072102->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1072102->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1072102->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1072102->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1072102->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1072102->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1072102->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1082106->1463502,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1082106->1463502,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1099402->1161802,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1537002,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1226603,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1315805->1219102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1320402->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1320402->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1320402->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1320402->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1320402->1129202,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1320402->1430705,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1336705->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1387102->1477104,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1449202->1161802,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1467903->1405702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1468305->1247805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1468305->1247805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1477104->1537604,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1486903->1474703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1486903->1474703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1042302->1330303,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1062702->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1288903->1039707,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1288903->1039707,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1288903->1039707,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1288903->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1288903->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1320402->1025702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1323202->1069302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1330303->1162402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1330303->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1330303->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1412202->1323202,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1039707->1162402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1039707->1162402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1039707->1294503,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1039707->1484306,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1039707->1484306,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1105703->1244807,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1127805->1126702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1150305->1129806,-106.91583333,39.64277778,-106.91583333,39.64277778,0.0,0.0,INSIDE
1226402->1484306,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1169706,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1169706,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1289208->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1289208->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1289806->1320402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1349505->1247805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1387102->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
