TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
N756AM,181.0,20.11111111111111,8.0,0.8888888888888888,165.0,18.333333333333332,0.0,0.0,0.0,0.0,8.0,0.8888888888888888
N37409,180.0,2.0454545454545454,0.0,0.0,71.0,0.8068181818181818,109.0,1.2386363636363635,0.0,0.0,0.0,0.0
N605LR,180.0,8.571428571428571,0.0,0.0,0.0,0.0,73.0,3.4761904761904763,0.0,0.0,107.0,5.095238095238095
N538US,180.0,3.3333333333333335,0.0,0.0,67.0,1.2407407407407407,69.0,1.2777777777777777,0.0,0.0,44.0,0.8148148148148148
N177AN,179.0,4.261904761904762,0.0,0.0,70.0,1.6666666666666667,74.0,1.7619047619047619,0.0,0.0,35.0,0.8333333333333334
N8681M,178.0,1.3185185185185184,0.0,0.0,55.0,0.4074074074074074,104.0,0.7703703703703704,0.0,0.0,19.0,0.14074074074074075
N13138,178.0,3.56,0.0,0.0,42.0,0.84,136.0,2.72,0.0,0.0,0.0,0.0
N657UA,178.0,29.666666666666668,0.0,0.0,21.0,3.5,138.0,23.0,0.0,0.0,19.0,3.1666666666666665
N829NW,177.0,7.375,0.0,0.0,91.0,3.7916666666666665,24.0,1.0,0.0,0.0,62.0,2.5833333333333335
N8676A,177.0,1.3208955223880596,22.0,0.16417910447761194,119.0,0.8880597014925373,35.0,0.26119402985074625,0.0,0.0,1.0,0.007462686567164179
N769UA,177.0,3.4038461538461537,0.0,0.0,80.0,1.5384615384615385,97.0,1.8653846153846154,0.0,0.0,0.0,0.0
N117AN,177.0,2.95,0.0,0.0,77.0,1.2833333333333334,56.0,0.9333333333333333,0.0,0.0,44.0,0.7333333333333333
N974DL,176.0,3.6666666666666665,55.0,1.1458333333333333,15.0,0.3125,42.0,0.875,0.0,0.0,64.0,1.3333333333333333
N7541A,176.0,9.777777777777779,8.0,0.4444444444444444,30.0,1.6666666666666667,63.0,3.5,0.0,0.0,75.0,4.166666666666667
N72405,174.0,2.761904761904762,0.0,0.0,88.0,1.3968253968253967,43.0,0.6825396825396826,0.0,0.0,43.0,0.6825396825396826
N655AW,173.0,1.9222222222222223,0.0,0.0,0.0,0.0,144.0,1.6,0.0,0.0,29.0,0.32222222222222224
